scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,339.2898,188.89929,0.6285767,337.82956,209.1875,0.5973454,341.14847,237.30383,0.705114,335.38034,270.64542,0.87518793,334.9441,286.31656,0.72303796,336.06155,324.03253,0.50919205,334.46603,340.59726,0.43761364,400.28818,218.1575,0.7588053,397.9533,334.94684,0.5744879,70.626076,547.285,0.3139196,267.61877,329.8441,0.5614606
1,339.65613,189.02504,0.64583117,338.0699,209.25743,0.6178295,340.96527,237.93565,0.70764804,334.86206,269.92233,0.8471157,336.58658,285.23477,0.7412368,335.85318,324.44565,0.51437396,331.31802,343.34286,0.47220477,400.2541,217.96635,0.753868,398.78265,335.3687,0.57566506,70.39672,547.09644,0.31642345,267.43726,330.9514,0.5493902
2,339.69315,188.96173,0.6394194,337.97244,209.31783,0.5953705,341.61343,238.44571,0.70028955,335.5572,271.0797,0.87451166,337.63223,286.6665,0.76019263,336.69907,326.67538,0.49058664,332.00082,344.7368,0.48630813,400.3001,218.44841,0.7610636,401.39264,339.68906,0.5451355,70.52011,547.23456,0.30283326,266.65903,332.03503,0.63068855
3,339.70453,189.25085,0.6381718,338.2066,209.52466,0.60317284,341.7596,238.42894,0.7020057,335.4137,271.0841,0.87427545,337.35153,286.7459,0.7552841,336.21164,326.78003,0.49177045,331.64203,344.78058,0.48044416,400.27216,218.59511,0.7489411,399.62735,336.7389,0.561158,70.594376,547.2111,0.30509531,266.71606,332.29684,0.6241959
4,339.44952,188.74205,0.6271251,338.16486,209.02315,0.60817635,341.75116,238.58904,0.70837474,335.25998,271.16412,0.875673,337.33844,286.89862,0.7609572,336.04025,326.9049,0.50648695,330.4924,348.6315,0.49351996,399.7739,218.44965,0.76470387,400.88663,338.61255,0.549587,70.66678,547.0066,0.31063277,266.45935,332.21423,0.6277623
5,339.1766,188.55348,0.631381,338.10587,209.07379,0.6150601,341.51706,238.7853,0.7095369,334.89258,271.01248,0.88487923,337.05222,286.86935,0.76194984,336.38605,327.08713,0.47208384,329.50677,348.75995,0.4994358,399.96646,218.6929,0.77160716,401.9366,339.33972,0.5519269,70.5982,546.8821,0.30940956,266.68478,332.2539,0.6291763
6,337.73193,187.20201,0.63316756,338.16162,209.0109,0.6111846,341.77347,238.9901,0.6994104,334.99506,271.3068,0.87944686,336.9481,286.90485,0.7553373,336.11392,327.15463,0.486386,329.11606,349.17593,0.51344573,400.01614,218.66245,0.760451,401.70236,338.82486,0.5603291,70.45245,547.08453,0.2885951,265.80536,332.40952,0.64032054
7,339.45618,188.50943,0.6403509,338.3122,209.4887,0.62115604,341.5293,238.9527,0.7094044,335.3538,271.51755,0.8748209,337.20587,287.1019,0.7572405,336.17053,326.62613,0.4990001,329.62827,348.13562,0.49349126,399.85577,218.73666,0.7522184,402.3929,339.34073,0.5589993,70.29856,547.599,0.27776742,266.71945,331.90472,0.63286686
