scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,258.1983,248.55547,0.8013843,265.72336,262.28632,0.8220672,274.49347,337.5665,0.77092236,277.75296,375.21863,0.9232754,284.2188,393.21564,0.9778852,304.27664,437.52673,0.7953198,313.93225,451.07397,0.78428584,330.4373,230.03018,0.7481985,356.90402,382.11398,0.68501335,200.5805,271.88208,0.92028576,236.48882,422.14923,0.55241287
1,255.06445,245.43138,0.7758793,262.25613,260.4346,0.92426777,269.9831,329.79712,0.70865744,274.84567,369.4125,1.0,281.4209,389.44766,1.0,299.93936,428.9426,0.81932974,308.03757,442.15463,0.7725551,327.25903,228.62286,0.74478203,355.39667,374.79242,0.78601927,197.48857,270.07602,0.9252282,233.12195,416.67627,0.545334
2,254.80083,243.6679,0.7619901,262.0289,258.74545,0.9304775,268.50452,327.46445,0.706776,272.21732,367.3783,1.0,278.42505,387.42963,1.0,297.51324,429.20685,0.85196096,302.55054,440.9647,0.7399492,326.83057,227.8628,0.7452414,352.3976,373.95987,0.7560587,197.02347,271.2974,0.8760105,228.53067,413.93616,0.53172874
3,257.18924,241.56487,0.7500697,261.86948,257.0664,0.9149252,267.77496,327.36182,0.73138726,272.16678,366.84576,1.0,276.85623,384.2828,1.0,294.8604,425.69376,0.87279946,301.87042,439.2223,0.793503,326.04834,226.28246,0.7682224,351.12192,372.0197,0.8014032,196.98006,269.54407,0.86776024,234.926,412.99588,0.56163466
4,257.26306,239.78058,0.7283328,261.88687,255.41641,0.9082031,267.2902,323.48172,0.76944953,270.48273,365.67056,1.0,271.39096,383.84198,1.0,293.17874,422.3622,0.8921329,300.0092,435.9247,0.78685486,325.97644,225.0628,0.7910026,350.5996,371.4459,0.8550817,197.73651,267.79843,0.85005945,229.29716,409.63132,0.5631075
5,258.00964,237.5863,0.7101634,261.98633,253.81078,0.8811056,266.6223,321.52344,0.83601934,267.82532,362.85373,1.0,268.61697,382.30954,1.0,291.96448,420.83435,0.8954467,298.64276,435.29324,0.7804363,326.4557,223.95059,0.8146663,348.71432,370.7395,0.8874331,197.38286,265.88168,0.86945415,228.53961,409.64117,0.55420285
6,254.78828,237.82492,0.75562584,260.93494,252.19934,0.8804422,264.97842,321.80792,0.8336056,269.01938,362.0613,1.0,272.72293,380.8242,1.0,290.0947,418.8982,0.89372283,301.15158,432.53598,0.8200995,326.46252,222.75946,0.80575264,346.5607,369.9578,0.8886904,197.44069,264.10117,0.9170042,226.67342,407.8587,0.6201371
7,254.01443,237.08781,0.72553575,260.27914,253.17197,0.8600616,263.90396,320.501,0.83353156,266.03293,360.51123,1.0,268.394,381.26752,1.0,288.6076,417.45462,0.926334,298.21686,430.8096,0.86370003,326.12103,222.66049,0.8055936,344.37546,369.62274,0.88613653,197.13765,262.9823,0.9434125,226.80963,406.31735,0.5830203
