scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,285.99994,171.81046,0.9484565,289.8421,190.51266,0.9047827,289.50357,237.49239,0.50585425,299.62375,265.00674,0.7085166,302.3675,284.06985,0.6430574,317.5574,326.72165,0.7555409,321.52298,346.14938,0.79387677,358.42767,164.33568,0.8558168,374.12814,293.78864,0.5972776,226.58781,201.24092,0.9278196,257.01233,327.2313,0.3956897
1,284.6874,170.4128,0.9164334,287.83044,189.04927,0.9228131,287.4985,229.54208,0.6239303,297.81842,258.77423,0.82883114,298.96872,277.96725,0.7996871,315.19992,313.6783,0.74522114,315.08856,335.5165,0.92984056,354.33453,162.04678,0.86892855,371.55502,286.73636,0.5489108,224.73225,200.0178,0.87916493,253.35696,318.074,0.4553429
2,284.01614,171.1166,0.9419089,287.6278,187.14392,0.9112392,285.04248,227.07413,0.67633176,294.3005,257.1324,0.83967286,295.7218,275.78403,0.78343475,309.03293,311.9686,0.78113705,313.3935,333.7926,0.8039503,353.6881,162.41437,0.8607426,369.59464,282.54834,0.5302996,225.31956,198.5496,0.9074658,249.9375,315.2474,0.4276718
3,283.99066,170.77975,0.93539315,287.72064,186.6528,0.90761167,285.63345,225.43408,0.6892928,294.5331,255.1406,0.8503082,295.07278,273.97614,0.78089833,308.13297,309.2893,0.8621199,312.78345,331.73862,0.80838895,353.75748,162.1984,0.86292475,372.05054,280.34778,0.55306816,225.66588,198.51424,0.9059714,251.96036,313.15057,0.39554656
4,284.46518,169.78966,0.9468624,287.70587,185.70372,0.9119267,285.87814,224.01628,0.70669204,293.13782,254.07356,0.94096196,294.12128,271.5125,0.7655855,306.79636,305.52432,0.9070708,309.1065,327.0404,0.87729853,354.29935,161.79544,0.8618175,369.74548,277.62207,0.58824825,226.3065,197.89587,0.9119793,247.13632,309.9547,0.3658173
5,284.67868,168.96175,0.98069805,288.23334,184.78242,0.9665991,285.49902,221.71118,0.65724254,293.3459,251.91751,1.0,292.60187,269.86163,0.782567,305.83438,303.2091,0.8761472,307.81818,324.81775,0.9214374,354.52307,161.20554,0.8729414,369.69818,276.58414,0.5672174,226.9256,197.3026,0.9227539,244.64647,311.03262,0.37302268
6,284.90814,167.1936,1.0,287.92828,183.41554,0.971031,285.29266,220.767,0.6041607,290.92975,250.41682,0.9468492,290.845,268.81726,0.77158886,303.8213,301.68863,0.815275,305.73337,323.3065,0.96099335,354.36423,161.13185,0.8519665,368.88364,277.3007,0.60483915,226.32231,197.07144,0.9031014,243.03018,309.52707,0.37392554
7,284.6421,166.43697,1.0,287.5299,182.60759,0.9907467,283.69614,219.86052,0.60314274,289.49512,249.24416,0.8976881,289.39532,268.84433,0.7343274,301.42703,301.75516,0.7711683,303.43686,321.7019,0.94620746,353.34436,160.75137,0.85630065,367.3143,276.8654,0.6004391,226.61487,196.50327,0.8827733,241.88876,308.66595,0.34892914
