scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,35.883606,598.44977,0.016766272,144.55698,515.99396,0.03558196,290.14355,529.52783,0.07532821,131.63702,515.6478,0.03358847,83.53603,614.152,0.036969718,300.85248,514.10333,0.059771318,299.77335,536.75934,0.16351843,194.97789,498.4014,0.053485706,197.90256,483.3241,0.084713854,210.9491,495.5296,0.056743793,303.7181,534.99493,0.2702863
10,594.4106,598.1127,0.016581351,49.563675,583.4041,0.02811556,210.64952,512.8497,0.049526017,210.15997,499.73114,0.03966439,146.80507,594.0921,0.02978761,212.33195,486.26883,0.03002223,205.41411,488.49167,0.04711401,352.5409,598.02747,0.04174792,5.8582816,586.6572,0.07570056,225.95078,482.59793,0.031422835,161.04245,375.7465,0.0869953
11,36.1256,598.39514,0.021099674,49.804337,600.2227,0.038573474,194.2672,496.6648,0.051727183,337.7145,388.15384,0.025172027,146.26088,594.6317,0.037728015,204.9263,455.51178,0.045263562,295.77368,486.17972,0.08401902,79.44917,599.6132,0.04486344,5.895808,586.7082,0.08742865,21.262356,606.95184,0.032677256,369.7559,376.73825,0.18182172
12,194.00792,597.7303,0.037157085,50.374546,600.6927,0.049478475,321.9533,528.10693,0.04289557,44.60719,604.83386,0.03078928,273.43475,292.19122,0.029623225,332.46252,518.56995,0.03806533,332.09705,520.33813,0.07146847,289.10995,310.28622,0.042133413,6.299526,586.744,0.09075585,20.8576,606.3216,0.03408157,142.76625,344.91516,0.31334263
13,241.94328,597.193,0.036263734,49.657238,583.36523,0.027956512,228.46347,465.26663,0.05658735,195.94179,467.5403,0.036594108,335.8666,538.1729,0.034712493,346.79257,519.8709,0.06253486,217.59831,459.17947,0.12028578,384.58878,598.40985,0.032481696,5.81243,586.69324,0.083915696,423.62863,493.1615,0.029233806,223.10138,454.52765,0.23895645
14,130.22224,596.6139,0.029355226,160.04326,548.0909,0.030130286,145.80595,529.48706,0.07709402,147.71306,547.5746,0.043056305,99.0546,595.6969,0.032641478,169.9465,533.4521,0.05561952,156.65268,536.5572,0.12978052,352.00476,599.07416,0.050134357,164.88396,536.44476,0.0815354,162.7547,528.3017,0.034765378,366.31723,134.46649,0.18536441
15,35.913036,598.2121,0.017479375,271.5937,483.66745,0.04424291,278.85645,483.28476,0.07565457,243.912,483.83826,0.030084722,83.47885,614.01825,0.038650773,278.07587,464.76505,0.066136,269.3095,473.53177,0.10360245,336.4517,598.18604,0.05150281,266.01627,461.83496,0.12012796,284.11914,480.89087,0.03436428,365.5297,134.92316,0.2023949
16,177.94751,597.12524,0.035590257,271.25516,484.5122,0.04770688,193.50615,495.60852,0.079434566,163.49757,499.90625,0.029437438,83.412506,613.9989,0.034510914,276.22598,464.8205,0.057115823,266.40845,466.45682,0.1025784,352.111,598.66644,0.05327991,265.66385,461.31354,0.1306521,296.54065,284.04187,0.05176735,144.16989,310.61877,0.2971586
17,145.24696,596.6597,0.019336274,49.924255,599.7145,0.034246456,126.85575,535.7085,0.06915781,354.26334,404.23193,0.032882642,248.5824,458.18542,0.038444087,146.03496,527.35767,0.051527623,137.9849,526.5145,0.13106425,350.92938,599.3181,0.044419244,264.6832,461.31058,0.12801196,296.95126,283.40485,0.04010905,144.84479,522.5667,0.21304448
18,36.491333,598.17255,0.021644926,124.47372,604.587,0.037143435,193.97522,496.55322,0.059878007,226.52176,532.247,0.036512498,146.45442,100.80698,0.03318012,329.35306,511.89713,0.05340097,324.0926,517.2671,0.1306081,351.5205,599.12683,0.048497554,328.6241,526.494,0.087873295,126.044785,588.28937,0.045939367,157.20547,96.812805,0.18215284
19,178.25967,597.46954,0.01634165,50.196518,599.72424,0.04090388,258.24808,528.0813,0.064605705,259.07565,515.9902,0.04129237,146.30717,594.37274,0.025281787,316.0077,517.6883,0.03914646,268.69815,520.61865,0.069501,189.21635,235.56009,0.054649584,6.092508,586.7707,0.07320748,392.94662,498.75235,0.04123915,398.8145,487.5558,0.40456718
20,193.78914,597.20026,0.028426014,208.17154,406.01923,0.055624325,197.82594,413.8592,0.057830747,179.06548,419.82,0.033939686,199.81516,396.27032,0.029692797,213.48793,417.35745,0.032432735,173.2892,488.34494,0.041289035,209.60344,423.2143,0.05997629,5.883003,586.75543,0.07556326,217.1483,417.33838,0.040604156,220.91646,401.6625,0.32948983
21,36.234043,598.3333,0.023863923,49.248314,590.8309,0.032975625,129.22066,528.9761,0.044242486,147.20448,580.0247,0.036300357,114.512634,317.53546,0.031204809,133.43494,503.43448,0.038031675,135.10838,511.91882,0.061149918,194.18657,605.3222,0.03962143,5.8323812,586.7033,0.07898358,273.79858,514.03955,0.033935457,123.95509,321.2134,0.33004066
22,36.211132,598.3812,0.023232386,143.59154,515.1431,0.033421844,144.55348,497.76895,0.069600776,131.28735,515.18555,0.04084427,137.64401,490.6732,0.033125624,149.37904,488.7249,0.049830835,149.03702,498.44208,0.10454788,210.54019,605.70917,0.049738187,6.107264,586.7726,0.07911195,170.4677,514.57574,0.040770415,415.73007,465.6245,0.3271811
23,257.9034,597.0824,0.03618604,288.0037,340.74823,0.04564032,142.56963,503.5407,0.08083235,275.45245,356.0793,0.036162883,280.60245,332.3544,0.03459435,155.5124,484.06494,0.062065434,149.48956,498.26202,0.131839,432.04337,599.1017,0.05762242,340.4139,520.9853,0.099215776,171.93938,515.0355,0.04698709,158.855,502.71393,0.37604234
24,289.93454,597.4022,0.028939081,49.939983,600.26,0.04373744,177.72124,544.4589,0.055547927,194.61176,516.0908,0.026690744,83.138145,614.0646,0.026453791,299.99963,486.40155,0.03692975,174.04439,535.4562,0.050741784,305.11917,597.6998,0.03685105,6.341879,586.8412,0.082536295,247.64015,237.44528,0.03986218,352.00424,293.217,0.18273479
25,499.13406,67.72396,0.028055144,48.61876,591.7238,0.035619684,209.1794,496.99146,0.06556458,195.70001,499.56793,0.037964784,498.25177,485.13513,0.03022869,212.53091,487.29376,0.047701456,205.93777,505.5622,0.10177472,352.30453,598.33655,0.049661927,5.930468,586.61816,0.09912951,20.385258,605.6908,0.042420816,501.44818,480.85162,0.2662164
26,145.69183,597.1353,0.023999663,208.63513,452.82086,0.026506262,208.18124,473.01718,0.05192771,291.16138,531.3139,0.03185096,147.6051,594.2306,0.041873164,301.24182,487.21448,0.05410297,297.70645,503.34644,0.1063773,336.07733,598.0734,0.06243655,5.5034237,586.4814,0.08936872,21.159817,606.70593,0.03221357,334.96072,72.91669,0.17239685
27,178.50562,597.35,0.036782324,130.53564,612.6099,0.027711555,194.33115,528.4653,0.05255818,510.08066,389.77823,0.030055126,147.33568,594.0925,0.036968105,180.5432,612.4815,0.031997766,189.66228,521.098,0.043905493,335.9163,598.1751,0.056199346,5.3479953,586.68884,0.09890232,21.089867,606.6078,0.036568444,510.05353,384.07843,0.28261948
28,290.25058,597.0608,0.016884075,50.071705,599.7885,0.02219248,320.97385,544.8613,0.04322034,326.23965,372.3039,0.043675426,322.76233,365.9725,0.03526976,330.6567,527.4641,0.043162886,326.95935,532.6954,0.09653889,368.21423,598.75037,0.04591104,5.871142,586.6164,0.077959724,440.7274,526.2649,0.034153692,333.17508,359.9968,0.3929668
29,162.81157,597.9564,0.026455583,35.55385,590.6802,0.029932372,374.48367,478.89764,0.054537784,130.80696,579.8032,0.03667427,546.14996,84.300964,0.03729934,389.04962,480.96155,0.04670651,124.374245,551.58276,0.05572069,385.97583,485.41757,0.051991925,5.8621316,586.63086,0.10587166,393.19348,482.4563,0.04632096,384.83673,470.70303,0.28993547
30,177.82132,597.2951,0.028622342,50.091545,599.6775,0.03548104,177.36295,496.50275,0.050856605,156.76988,100.92851,0.033083554,147.00575,594.24725,0.03725614,388.42764,482.69653,0.034406405,172.5273,489.65955,0.040139128,385.6727,486.54837,0.052630767,5.685468,586.622,0.08763616,392.05634,482.3532,0.043860022,382.54944,469.25867,0.45867202
31,36.19147,598.19696,0.019183986,50.307545,599.6911,0.035518,210.18633,528.57446,0.06989732,226.19194,515.75616,0.04277896,146.53893,594.8026,0.027330263,235.37071,464.19174,0.032245178,220.56883,520.51196,0.061464615,368.3602,598.72876,0.053111542,5.9098077,586.47504,0.07173389,208.6483,513.4997,0.03413942,368.50845,378.17053,0.12911035
32,177.48521,597.7409,0.014762062,162.31157,483.52637,0.034094635,193.5051,496.33704,0.06943028,209.94354,483.732,0.032257713,147.25348,594.16705,0.03741895,197.34193,487.1088,0.03887799,221.47946,464.63583,0.047336847,162.612,605.67816,0.051935446,227.68965,457.53845,0.095151596,410.90833,476.29312,0.043852903,418.36053,473.26263,0.20204596
33,161.36765,598.04236,0.020759752,162.39197,483.46228,0.034053165,193.80362,496.18265,0.07390211,195.5625,515.737,0.036963742,147.15462,594.3106,0.032755975,211.71904,487.5699,0.030874565,205.41005,505.24902,0.07123951,305.1179,340.4783,0.050550807,306.8079,337.4801,0.06898177,328.2864,334.47244,0.039440874,320.3497,328.28033,0.29197162
