scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,541.05054,340.08163,0.04802928,13.070234,589.6282,0.06499302,531.3275,339.45193,0.16766442,548.5272,348.73138,0.07196031,539.2014,356.25507,0.08484378,26.995686,20.309492,0.06792652,530.54224,353.9235,0.18751559,577.8532,341.2247,0.059623286,540.2975,341.9889,0.0633263,125.34155,603.6767,0.07601444,606.13776,611.5344,0.045844622
11,540.9521,340.10327,0.03986215,13.161874,589.6501,0.06965658,531.4899,339.4828,0.1262228,548.5807,348.90768,0.066067874,539.52527,341.13785,0.07535304,27.02338,20.319618,0.0675685,530.67,354.0585,0.18261202,577.9456,341.32074,0.055718828,540.29834,341.5934,0.047488976,12.401947,603.79083,0.076016076,606.04767,611.7122,0.039504502
12,380.47537,146.95299,0.052896883,372.56433,156.03087,0.07980154,372.39243,154.6736,0.11839182,388.64545,148.65897,0.06042826,380.19098,149.42247,0.074233584,386.41174,155.57289,0.078239,468.22586,339.72757,0.0947667,577.70593,309.50977,0.061329402,555.4394,292.0308,0.04829564,459.7981,604.4943,0.08356866,371.90277,156.37659,0.04264902
13,596.51996,597.8192,0.03774529,13.100304,589.5738,0.0643358,564.84686,322.90677,0.045858063,84.211876,579.732,0.044758674,20.071033,37.052433,0.05736262,11.97537,28.097239,0.0650805,548.2568,339.87317,0.0882486,578.2152,341.20938,0.060368877,547.98315,275.94266,0.044343073,523.5585,595.90985,0.07971862,573.5903,396.01193,0.032681312
14,396.6944,276.16684,0.04885909,13.089326,589.46606,0.06587928,388.27655,276.3026,0.13267204,404.5343,284.05438,0.08486538,395.6134,292.54214,0.08849615,402.74274,283.9395,0.08099084,403.20596,291.37012,0.15081275,577.9401,325.45447,0.061406013,396.71417,277.6633,0.048026357,539.36664,588.33685,0.10003807,435.29218,412.26538,0.041545063
15,596.3019,598.04047,0.040962476,13.132887,589.6149,0.067675926,532.14294,339.37973,0.09821848,548.73224,348.9195,0.07382134,539.4731,356.2884,0.07214678,26.995165,20.341375,0.068131,531.50275,354.50125,0.17461649,577.9165,325.5208,0.060685746,540.3048,341.55853,0.049681492,539.8237,595.95984,0.07776611,548.0005,348.56705,0.03493399
16,572.7475,587.6438,0.042560603,13.133867,589.58984,0.071747735,531.6658,339.49414,0.10247538,548.52167,348.68246,0.07571499,533.04474,355.97638,0.08340793,531.5805,338.8549,0.07435495,530.8946,353.93076,0.18565026,577.86774,325.37198,0.060113877,540.31525,342.04855,0.04752306,555.30786,588.05475,0.09001596,531.2966,348.22794,0.039373428
17,596.33905,598.06836,0.04805047,13.090392,589.50024,0.0658558,500.28583,291.64417,0.058160294,51.943474,20.530237,0.05992119,500.7191,292.88004,0.07951679,26.986757,20.309069,0.069509745,500.34174,291.72055,0.16207694,577.95245,293.61624,0.05308454,492.12143,276.8539,0.04760973,556.05975,595.98615,0.07635699,605.78406,611.4454,0.03393012
18,596.3537,598.77106,0.046468858,13.112369,589.5102,0.065470256,613.7451,588.3034,0.04210932,51.985367,20.509977,0.056369767,19.97818,37.013916,0.066637024,26.947752,20.416975,0.0697385,548.5786,307.8156,0.084422916,578.3301,341.16284,0.06338489,555.18787,371.8859,0.04562213,475.55505,596.4307,0.08172595,606.189,611.4372,0.04578937
19,596.3029,598.8124,0.047746032,13.082791,589.4459,0.063453175,614.0541,604.1234,0.043188665,52.012337,20.505182,0.05556563,19.998821,37.057995,0.06326307,26.977856,20.355742,0.06823751,484.30386,387.66727,0.10113637,578.118,325.4144,0.06487034,547.59076,371.89493,0.034536093,539.64276,588.4968,0.09621197,606.29126,611.44104,0.049676426
