scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,590.54114,238.00371,0.036735028,468.8025,268.691,0.034963,29.377869,605.41626,0.07034018,597.29803,22.706654,0.02612529,52.65474,594.6659,0.058200724,31.909908,604.49963,0.08986438,474.14352,264.7238,0.07654515,17.736052,595.61127,0.101757444,583.65594,593.2717,0.05778186,22.55297,596.82135,0.08727857,29.75153,597.3883,0.073898315
10,590.3878,382.19116,0.039180115,55.738903,596.95056,0.035633992,29.809334,605.4759,0.07182782,582.52423,583.06366,0.031820152,52.704002,581.0157,0.08859476,38.448574,597.7068,0.11698047,530.7016,489.44446,0.041404944,17.661118,595.49066,0.10894604,62.361897,588.4894,0.06984769,22.91397,596.64355,0.093229346,36.10945,596.285,0.08878957
11,590.4304,381.99445,0.040644355,276.71954,460.96564,0.042112134,29.631382,605.51685,0.065179266,582.2944,582.7482,0.028040083,53.033165,581.03516,0.0637242,373.43155,385.7898,0.08973614,378.46432,393.03406,0.07555811,17.753483,595.6457,0.09195925,583.62537,593.74207,0.045622252,22.735504,596.82465,0.07708634,30.168646,597.4137,0.07202322
12,590.49286,270.11972,0.0380882,55.127945,596.8193,0.033984855,29.050291,605.7335,0.06999383,38.595894,549.8085,0.024026958,52.551895,594.82935,0.061357178,31.591722,604.4456,0.091580525,411.3289,521.1881,0.04401133,17.938374,595.6094,0.09709386,583.8164,592.8603,0.0639069,22.54599,596.8872,0.08354891,30.079922,597.47076,0.07034536
13,590.6726,366.32278,0.042314503,485.21625,396.8855,0.063928284,28.992277,605.3474,0.058764584,500.9766,396.29056,0.06239723,20.66972,613.14453,0.04044392,485.44666,385.3464,0.10147054,489.78375,392.7323,0.14296219,488.25977,409.85004,0.12439412,498.51465,407.4466,0.05981062,22.338388,596.9645,0.07273468,30.458477,597.5266,0.06082509
14,590.65265,478.26114,0.04139624,484.72,396.37967,0.053301845,28.997324,605.2906,0.057026092,501.3247,412.1629,0.03811595,20.757898,613.15814,0.037460804,484.71857,384.57803,0.108498886,489.02618,392.59964,0.117410995,17.736824,595.58374,0.08341422,583.7689,578.677,0.049007468,22.394793,596.9189,0.06902791,30.505297,597.62384,0.05735621
15,590.3343,189.9055,0.036954515,516.87,460.21832,0.042888656,29.079731,605.23566,0.057607044,597.13824,22.37775,0.027010154,20.757936,613.11926,0.03663546,37.74262,597.1458,0.06130088,515.8027,452.4584,0.11071171,17.73438,595.66833,0.08118204,187.4696,27.059244,0.05220716,22.382341,596.9354,0.06738262,30.39213,597.63635,0.055875912
16,549.2274,581.4135,0.04394275,373.21753,525.35394,0.06637465,29.236551,605.31836,0.06025989,389.74887,524.466,0.04139061,20.84627,613.07166,0.03803055,374.04288,513.66565,0.12659284,378.79718,521.4875,0.13433997,376.70297,522.2799,0.09803428,386.73093,519.98486,0.05544202,22.46065,596.87714,0.07159133,30.138859,597.54913,0.05989117
17,549.686,581.341,0.048359346,548.94275,590.11304,0.0739444,29.4626,605.4395,0.06534174,597.30005,22.453047,0.028604303,52.781666,594.6203,0.05589758,37.923836,597.5938,0.09316662,548.3876,585.27234,0.08164704,17.82204,595.5607,0.09828623,68.56602,587.0894,0.058648758,22.655485,596.7771,0.0845359,29.646385,597.49384,0.0744208
18,46.09257,45.50265,0.038810167,55.132263,597.14703,0.03245626,29.208405,605.45715,0.065395966,597.2235,22.438433,0.026618592,52.945583,595.0049,0.05142671,31.733305,604.4838,0.08768763,409.7796,337.48856,0.099296466,17.828323,595.54425,0.10261578,584.08777,593.4245,0.052204616,22.374968,596.8138,0.08671321,22.58627,596.0981,0.06929503
