scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,20.112926,597.8287,0.033321816,547.3735,595.9676,0.027331024,18.76598,21.515574,0.034558382,34.176968,21.317308,0.035257,585.9595,585.3078,0.050039206,585.12823,594.94006,0.053574856,10.120282,593.543,0.04114214,584.9785,593.3234,0.12121291,584.59906,592.4808,0.067939594,12.601001,19.808014,0.027122088,598.30725,579.2651,0.040804073
11,578.7418,596.87036,0.032492466,451.3636,596.3234,0.026899224,18.791187,21.443958,0.03174315,34.085148,21.392694,0.042802762,585.5226,594.8089,0.04659953,585.20404,595.23145,0.047110975,10.332625,593.62866,0.040893387,584.8821,585.8252,0.103403874,584.91034,592.6956,0.06874947,13.9958935,43.582294,0.023539152,158.50813,186.04153,0.0578682
12,20.058943,597.443,0.035581976,91.95044,123.76296,0.021846933,18.782087,605.2197,0.026179407,34.461754,21.229813,0.0362619,585.88,594.8642,0.040916014,585.5908,595.1449,0.04803944,10.551608,593.8446,0.03760111,585.4956,593.8624,0.09973449,585.0886,592.9926,0.06439477,29.940739,155.54657,0.021202475,55.35356,323.80548,0.027902698
13,20.056986,597.75757,0.040166967,220.0056,459.46237,0.03135591,18.648617,365.78403,0.035791967,34.245884,21.46585,0.040592197,585.4151,594.779,0.049723838,585.16943,595.0436,0.05636931,10.103557,593.7678,0.048779916,585.0248,593.43536,0.12278969,584.7002,592.52966,0.069784775,12.686245,19.86557,0.027013037,598.2801,579.1608,0.033897586
14,20.05324,597.9014,0.036722697,451.39212,596.37103,0.03035565,18.79413,365.57593,0.060085736,33.97287,21.559237,0.041114327,586.0461,585.39154,0.047518518,585.18365,595.1627,0.05412141,10.095711,593.68115,0.046998337,585.127,593.45703,0.11490891,584.8186,592.57495,0.07016221,12.640108,19.853745,0.02961075,598.2335,579.27344,0.030532803
15,578.5685,597.14844,0.03828687,27.981241,363.57504,0.034763824,19.016369,357.4151,0.0690867,34.05065,21.488455,0.03930218,585.77954,585.3332,0.05136276,585.00525,595.0468,0.056764584,10.183896,593.5992,0.04479135,584.87054,593.2797,0.121413186,584.60944,592.4651,0.07129268,12.739274,19.821016,0.03130251,598.22534,579.2724,0.03738513
16,20.042421,597.878,0.040514562,347.93317,267.1458,0.036734436,18.568321,21.717358,0.03333756,34.08489,21.591547,0.038098335,586.0009,585.42126,0.04911665,585.2138,595.0437,0.052999653,10.048462,593.4783,0.044503093,585.05756,593.47644,0.11659223,584.7381,592.59204,0.069102585,12.6469755,19.809242,0.027512789,598.4025,579.1538,0.032857902
17,19.989357,597.6539,0.034829196,252.29985,283.48685,0.028164657,18.656134,21.623856,0.032215945,34.019142,21.55232,0.041304324,586.1974,585.76245,0.04382132,585.46356,595.0164,0.049908288,10.215635,593.615,0.041051593,585.15424,593.68036,0.10957006,584.74396,592.92267,0.06775481,29.53608,59.213165,0.025501642,598.5516,579.2482,0.03310976
18,20.017313,597.6163,0.03222428,331.9073,475.22046,0.036243845,18.711983,21.508291,0.034181904,34.07669,21.52898,0.04431477,586.1297,585.51355,0.046880756,585.2946,595.0495,0.05221723,10.224353,593.82635,0.043475837,585.09485,593.5021,0.112713926,584.69257,592.6671,0.07137986,12.578779,19.861258,0.026974149,598.4162,579.2846,0.036924206
19,19.99347,597.7284,0.036431406,483.47488,596.4533,0.034086198,18.747108,21.453995,0.034138102,34.056248,21.505402,0.046018872,594.6495,585.24347,0.048389103,585.2872,594.9847,0.052146897,10.269131,593.7317,0.04324028,584.7419,585.5082,0.11537897,584.7181,592.62604,0.06835044,12.522517,19.89019,0.025740761,598.3136,579.2292,0.035919674
