scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,253.93456,218.32706,1.0,255.75612,234.99205,1.0,213.25203,292.5436,1.0,192.88173,329.79572,1.0,186.81964,351.67123,1.0,186.94536,390.30118,0.97625387,192.01187,405.7914,1.0,324.46622,231.92938,0.76740533,271.36722,381.27658,0.8329162,207.25293,223.23024,0.89177877,151.97678,366.85663,0.85070515
1,253.63065,218.92068,1.0,255.22966,235.70647,1.0,212.47017,293.83252,1.0,191.77448,330.8233,1.0,186.04851,352.9569,1.0,186.32433,392.82642,0.9660873,191.08243,408.741,0.9935452,320.88,240.15015,0.7478313,271.1949,383.30487,0.7905585,207.53134,233.06339,0.7741155,151.1759,367.7367,0.90042317
2,254.30902,218.3297,0.96395075,254.29094,236.87093,0.9568661,211.33347,294.4419,1.0,191.4252,332.31635,1.0,185.5786,354.78223,1.0,185.32796,393.89062,0.9579932,189.51903,408.8573,0.9736865,322.5241,239.04074,0.77847403,270.63272,384.86575,0.7614653,206.95137,233.50317,0.8213865,150.33957,368.93027,0.9561501
3,254.61597,218.34726,0.9499461,254.1618,237.20973,0.96488756,211.4385,295.03403,1.0,191.49365,332.36978,1.0,185.50883,354.70026,1.0,184.61418,394.0571,0.9545495,189.04463,409.34808,0.96354264,322.4349,239.79716,0.7802215,270.58716,384.20456,0.76190925,206.72493,233.19518,0.80350447,150.52196,368.85748,0.94342
4,254.8473,218.51651,0.9319198,254.18054,237.13222,0.9785056,211.7621,294.76385,1.0,191.42818,333.03082,1.0,185.44484,355.61935,1.0,185.155,394.33478,0.93884504,188.65298,407.3735,0.95843977,322.45193,239.85286,0.7667572,270.44354,384.5842,0.72102845,206.39604,233.44905,0.79604316,151.30046,369.8505,0.9728649
5,254.2469,218.61514,0.9263536,253.65146,237.5234,0.9422393,211.4464,294.91855,1.0,191.53117,333.04297,1.0,185.51271,355.9508,1.0,185.1802,395.14383,0.91581774,189.18951,408.35727,0.98596644,322.9646,239.34563,0.7879382,269.5675,385.28574,0.7167542,206.06319,233.88914,0.7624436,150.3312,370.26456,0.9611039
6,251.78513,219.83281,0.93389416,254.37444,237.22774,0.9602272,211.46689,295.22894,1.0,191.47559,333.28552,1.0,185.2439,356.0836,1.0,185.12167,395.16812,0.90441036,189.58377,408.06207,0.9937323,322.8866,239.47913,0.7850732,268.86487,385.46667,0.73216265,207.89075,234.22119,0.77646524,150.58682,370.46725,0.959661
7,252.05588,220.02623,0.932957,254.60185,237.19849,0.9709818,211.64156,295.60284,1.0,191.51181,333.868,1.0,185.07979,356.47858,1.0,185.59862,395.50784,0.8792927,189.83466,408.85056,1.0,323.12845,239.46373,0.79132646,271.58044,385.5824,0.7674026,207.75543,233.6731,0.7904637,151.26018,370.75354,0.9694538
