scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,290.62033,158.3036,0.8930599,289.5343,175.24759,0.9822096,238.81888,202.62733,0.8601048,219.4209,226.03305,0.98733455,209.31563,247.66869,1.0,203.68576,275.72507,0.96788615,203.49242,294.18964,0.9253227,352.73883,174.66647,0.87425154,288.28873,287.02386,0.88855886,239.92642,176.60521,0.8829309,178.01216,273.4261,0.69468814
1,290.62317,159.85289,0.90712535,288.58096,175.43904,0.9119613,238.31879,205.06555,0.74854875,218.17673,228.24426,0.9984655,208.48732,248.88155,1.0,203.16208,276.37872,0.9579061,206.8137,295.975,0.923022,353.04764,183.32724,0.6551763,286.95667,288.49384,0.8905164,233.16914,193.06856,0.5887579,176.97784,273.68353,0.7003106
2,290.2389,160.44846,0.9026614,288.60828,175.12808,0.9344919,238.21625,203.91908,0.9053334,217.4986,230.00157,1.0,207.66992,250.07948,1.0,202.67525,279.38373,0.8917649,206.10042,298.08942,0.9221691,351.0229,182.56808,0.80817014,287.64734,290.09857,0.93961316,237.73206,185.3271,0.71674085,176.41605,276.433,0.7090015
3,290.0348,160.36047,0.9028574,288.3768,175.16537,0.9337744,237.97974,204.20749,0.9098992,217.29741,230.34674,1.0,207.31903,250.32231,1.0,202.63359,279.37088,0.8848945,206.33488,298.2258,0.91032034,350.96014,182.44527,0.8193552,287.4667,290.3356,0.9390503,237.22758,182.25822,0.74982834,176.7079,276.86212,0.6968985
4,289.8762,160.28249,0.8940558,288.57095,177.88293,0.9120795,237.38261,204.99069,0.93139243,217.20764,231.01378,1.0,207.24733,250.7608,1.0,202.11285,278.51862,0.88282865,206.72354,299.11914,0.9098578,351.2534,182.86722,0.8372938,287.276,291.09396,0.93497604,237.45891,181.8856,0.76434064,176.62267,277.94147,0.6927358
5,290.20636,160.0393,0.8983871,288.82257,177.42702,0.9151348,236.8566,205.69994,0.9501725,217.27362,231.39087,1.0,207.30406,251.11064,1.0,202.09576,279.29236,0.8861605,206.59023,299.2467,0.8980959,351.28928,182.66626,0.8432473,287.98624,291.3001,0.9602925,237.69704,181.12515,0.7993997,176.8186,277.92798,0.68957025
6,289.78342,160.36421,0.8991979,288.30322,174.6854,0.9076474,237.1162,205.36606,0.9518092,217.19577,231.43053,1.0,207.04523,251.3485,1.0,201.7652,279.44775,0.90219414,205.90723,299.1438,0.88966626,351.29648,182.57953,0.83255243,287.29303,291.1367,0.93059534,238.16672,181.52823,0.8331457,176.19504,277.83914,0.68090546
7,289.56906,160.56056,0.9061908,288.07748,174.93677,0.9143689,236.77821,206.21185,0.94684935,217.11761,231.83936,1.0,207.071,251.51707,1.0,201.73984,279.77484,0.9016586,205.72711,300.10446,0.89949906,351.42303,182.59131,0.8424108,287.90778,291.3121,0.958683,238.45529,179.51793,0.87117547,176.1154,278.06192,0.68087566
