scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,222.73352,279.51587,0.9558489,224.06003,296.06094,0.9848208,175.44374,372.53598,1.0,157.03642,418.8629,1.0,150.7605,440.75555,1.0,150.06105,476.3999,0.93673027,157.3111,491.01224,0.9496181,292.79697,295.87,0.8670466,235.59558,460.68948,0.87000805,175.84145,284.69766,0.8194441,124.23596,446.7453,0.9175455
1,222.85335,279.38715,0.97556067,224.02129,295.98367,0.99003196,174.9219,372.17822,0.9868317,157.55708,418.33798,1.0,150.69034,440.5436,1.0,150.25952,475.954,0.93851185,157.62741,490.84143,0.9592402,293.5073,295.33466,0.8998337,236.11407,459.88,0.8207013,176.01346,284.60132,0.8120519,123.94489,446.29575,0.92450327
2,222.7888,279.35025,0.98000264,223.95374,295.93427,0.9930917,175.17407,371.77164,0.9954474,157.28572,418.38342,1.0,150.64525,440.47467,1.0,150.57866,476.2956,0.9324545,158.13539,490.72797,0.9462893,293.34467,295.41605,0.8810914,234.75806,459.19357,0.829775,175.74796,284.3581,0.7971129,124.404076,446.99545,0.9178117
3,223.1018,279.17014,0.9848306,224.18219,295.67694,0.99682236,174.93867,371.6988,1.0,157.32759,418.12842,1.0,150.73274,440.4412,1.0,150.34732,476.18002,0.93176633,158.04166,490.25,0.92631865,293.52136,295.45093,0.8624023,234.95752,459.47348,0.8099741,175.72165,284.43304,0.80436754,124.11705,445.72388,0.8924159
4,223.14595,279.01242,0.9878973,224.09962,295.58655,0.99493957,174.72363,371.6699,0.9915367,157.31877,418.17096,1.0,150.64276,440.5553,1.0,150.21165,475.8164,0.94816786,157.82616,490.0218,0.942321,293.122,295.33847,0.8581036,234.99886,458.70758,0.8368591,175.60588,284.30746,0.8025744,124.28312,446.0678,0.9110009
5,223.13962,279.0075,0.99501747,224.05444,295.78943,0.98524433,175.1729,371.643,0.994083,157.51627,417.81686,1.0,150.78177,440.40994,1.0,150.4945,475.05704,0.96432674,158.48248,489.26834,0.9571487,293.31342,295.45926,0.8624389,236.20241,459.41632,0.8053637,175.51245,284.0954,0.80548644,125.02973,446.16452,0.91676706
6,223.20398,279.0325,0.9940014,224.14442,295.9396,0.986591,175.36935,371.82355,0.99758327,157.5833,417.9728,1.0,150.94316,440.31293,1.0,150.18333,475.1403,0.96434206,157.79749,489.6036,0.96615356,293.2313,295.55145,0.87058544,235.57196,459.3334,0.83229387,175.78601,284.33612,0.7974056,125.31595,446.15326,0.89284307
7,223.19217,278.8463,0.9963598,224.07738,295.5094,0.98793685,175.13205,371.96194,1.0,157.64482,417.8342,1.0,150.6979,440.36108,1.0,149.71634,474.7585,0.9716252,157.23346,489.13202,0.96210504,292.88962,295.41766,0.85214275,235.70703,459.75308,0.8003488,175.60548,284.063,0.7972876,124.7247,445.65396,0.8968906
