scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,265.9802,216.68239,1.0,268.57812,229.46913,0.95333177,226.71436,281.3806,0.6364487,190.31229,332.09604,0.50945854,186.04494,344.15262,0.54033756,191.06831,379.07663,0.7006659,196.80185,392.87146,0.66761947,335.5863,233.3707,0.942838,228.4642,483.599,0.26826316,218.21953,223.96347,0.9611542,162.55908,351.02124,0.73344254
1,263.9712,221.3598,0.9464099,267.39944,231.14622,0.95492387,202.92967,323.968,0.38603342,195.53806,337.00946,0.33083606,190.39725,345.43317,0.43511572,187.68423,379.1028,0.64565146,191.838,392.821,0.64627403,334.74683,234.40056,0.99369913,260.0267,289.07935,0.16176009,216.84796,227.422,0.9201361,159.65862,355.25305,0.7260728
2,265.92377,218.11731,1.0,268.32727,230.85916,0.94719917,190.85359,331.72122,0.46471456,312.68115,226.40446,0.23613504,182.46873,347.5277,0.3253765,178.99284,372.92508,0.4222527,183.22787,389.08392,0.45545462,335.40146,233.16466,0.91088754,242.83606,337.4152,0.16283548,217.84705,225.24994,0.9379874,160.30045,357.713,0.49917722
3,265.67224,217.17725,1.0,268.4341,230.32166,0.96131724,228.39745,280.08334,0.5743582,312.8944,226.57458,0.2444522,178.11005,388.1288,0.23255901,177.49124,379.55566,0.3795606,183.30801,392.0995,0.45782086,335.36646,233.26299,0.94062114,243.27711,337.16013,0.15981899,217.7851,224.47787,0.9543189,160.73424,358.51575,0.38173392
4,266.256,215.97742,1.0,269.29172,229.53444,0.9577401,228.86798,280.7128,0.5996655,312.787,226.73987,0.2342589,229.54297,275.8861,0.21961753,177.70494,375.24826,0.440918,184.63669,391.2662,0.5157465,334.89337,234.97324,0.96069455,222.63297,486.63297,0.18764149,218.35289,223.98846,0.920292,160.01503,357.70944,0.41169262
5,266.71295,215.31429,1.0,268.98807,229.48405,0.95319754,229.53026,280.9464,0.6272624,178.27615,372.0629,0.23791683,180.24942,389.34802,0.27415636,180.89363,382.6785,0.44579145,186.61938,395.07233,0.48160514,334.73398,234.42287,0.95051,216.24066,486.82748,0.15733318,218.31258,223.5171,0.9040691,162.15742,354.54843,0.26693723
6,266.78207,214.7083,1.0,269.0095,229.10318,0.9601854,230.2917,279.9374,0.75280684,189.5178,321.6495,0.257714,180.7225,387.91284,0.28948972,181.3357,383.356,0.4553972,185.66872,396.00333,0.5127438,334.85785,233.68248,0.9710863,243.63812,339.10068,0.16734253,218.5371,223.38348,0.8987471,164.11522,348.06863,0.37326136
7,266.43942,214.35378,1.0,268.97977,228.71068,0.9585695,231.02655,277.9411,0.89155763,189.29881,319.29572,0.3245811,185.2379,338.56186,0.25044662,184.4697,375.13416,0.44873756,185.18422,392.3664,0.45295784,334.7798,233.04707,0.9729455,225.60294,337.35678,0.134683,218.38202,222.91876,0.888512,164.85919,347.39667,0.38591123
