scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,302.55637,156.30443,0.78777707,301.1419,167.7406,0.6071672,227.76549,193.64352,0.57920057,205.67374,220.99702,0.6922158,200.65361,238.51231,0.63854843,204.25046,259.6216,0.44329548,206.39293,273.8582,0.48835123,366.92194,170.30797,0.9638757,307.63882,559.16486,0.3913278,220.80139,183.07747,0.35610685,188.5219,251.3871,0.51640946
10,302.89188,155.73984,0.801881,301.58014,167.1518,0.62617683,227.91379,192.91144,0.5778367,205.99176,221.69359,0.67493683,201.43059,238.36806,0.6300264,204.06299,259.26456,0.45093915,206.78363,274.27954,0.50733644,367.00336,170.68831,0.9620216,307.3476,558.79895,0.36666226,220.28694,183.84016,0.3672522,187.25108,252.24144,0.5303639
11,302.86032,155.72388,0.7759494,301.60056,167.15144,0.6092478,225.7793,193.43214,0.524301,205.34062,221.49754,0.6713929,200.88365,238.50537,0.63799906,195.40411,257.74414,0.4636192,205.1282,273.74698,0.50941426,367.5562,170.79669,0.96321374,307.07648,559.02527,0.3533819,220.22371,183.46298,0.36300233,184.89574,251.53941,0.5399287
12,303.40005,156.10454,0.82227147,302.57053,167.44589,0.6426164,227.01495,193.85121,0.48090163,205.91444,224.40202,0.52919966,200.51523,242.05435,0.4573205,191.97714,257.47064,0.3150074,204.97246,275.43475,0.3962182,367.8825,171.12408,0.9978095,291.1651,444.04456,0.2777138,541.8455,482.18878,0.3206183,217.80301,177.90154,0.4543436
13,303.42758,155.98871,0.8275975,302.6791,167.43971,0.64169014,230.4638,189.19858,0.4453819,206.03162,223.6893,0.5781596,200.42578,242.321,0.4408991,200.75717,257.19943,0.3162368,205.41368,274.88553,0.38056841,369.5802,171.24213,0.9779986,291.1619,444.46924,0.27077392,541.5809,482.5365,0.3194357,217.43303,178.23802,0.45391974
14,303.65033,156.0432,0.8451797,303.1187,167.63298,0.6628997,225.119,193.96603,0.47974873,205.61356,224.88937,0.5420706,200.24545,242.60222,0.40087536,200.18047,257.15393,0.34324062,206.0389,276.2842,0.353987,369.48468,171.33176,0.9748511,291.42868,444.30426,0.23336203,219.74442,182.50465,0.32366917,217.56985,179.01854,0.43883803
15,303.3615,155.684,0.85205555,302.83557,167.54672,0.67429507,225.07382,194.3828,0.49491262,205.84953,225.3666,0.5073204,200.76532,242.43584,0.384237,200.1904,256.44647,0.35327274,206.82907,275.67123,0.3525678,368.97717,170.60884,0.96302736,306.46497,558.86755,0.3613139,219.93054,182.44241,0.33083066,217.9441,179.08963,0.4265393
16,303.63583,155.43652,0.85514426,303.0161,167.04698,0.69928,226.10623,193.68018,0.48979163,206.05032,224.21942,0.50980943,201.86702,242.09811,0.44399875,201.25146,256.37772,0.34378567,208.20471,276.6629,0.35612002,368.60596,170.17578,0.92298,307.54636,559.5708,0.4398328,220.31824,182.43724,0.32145616,218.08867,179.30138,0.4188515
17,303.76303,154.56807,0.87387174,303.18484,166.48854,0.7366551,227.6197,193.24338,0.50935733,207.02399,222.9289,0.6003642,201.31583,241.65036,0.48828408,203.01912,247.98726,0.41210905,207.69188,263.55225,0.37684637,367.72723,172.7426,0.93505985,306.97723,558.71216,0.35299978,221.47304,181.53058,0.3201398,218.52504,179.21573,0.42086253
18,305.28403,155.08925,0.83164954,303.43823,165.5447,0.7026371,227.94247,192.83202,0.4971895,207.23224,221.84612,0.6531913,200.9714,242.44717,0.54341674,196.13736,260.06726,0.54111123,207.26993,272.96716,0.4182946,367.57156,172.02438,0.9516068,235.30406,259.23102,0.3150331,541.5261,482.3708,0.30126625,184.84021,253.02066,0.529827
