scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,376.8743,190.82936,0.79652894,375.80475,201.94145,0.7259678,410.676,224.79611,0.73281807,419.27313,249.1998,0.6173887,422.38568,264.76965,0.6763936,425.94598,302.7954,0.7034607,425.77625,315.71826,0.6143804,419.79297,213.0971,0.85103,440.57996,292.21466,0.50931054,305.27902,202.18562,0.7925756,347.57465,301.09946,0.95127845
1,378.7512,191.44315,0.83541816,377.31842,204.15265,0.7418752,412.02222,230.0953,0.7212259,422.78015,256.75085,0.48718297,427.9753,274.74286,0.52155596,433.207,306.79364,0.64232045,431.941,322.25925,0.48814157,421.10474,214.67654,0.8716249,440.068,292.962,0.5167922,306.94565,203.72313,0.7936211,359.68854,298.7244,0.6910084
2,378.28674,190.48576,0.8175299,379.72528,202.81223,0.7437954,412.40942,226.67062,0.64740723,420.8159,245.63243,0.306516,422.42426,262.24185,0.41908273,431.81827,310.4099,0.54249233,434.27377,323.92828,0.34574506,421.6978,213.06969,0.871483,438.4253,293.46997,0.47706562,305.82288,201.35637,0.79346997,358.7876,297.61838,0.74279726
3,378.23776,189.61757,0.81810963,379.2706,201.30843,0.74658346,413.41736,225.21811,0.546882,422.95712,244.42537,0.30183464,423.7591,262.06424,0.2984061,432.18344,311.55124,0.64047074,428.52768,329.73077,0.41036206,422.1146,212.86658,0.8696839,441.3448,298.31134,0.46656802,305.54022,200.85947,0.8209464,360.18878,295.47842,0.6969244
4,378.1503,188.92339,0.8438422,378.5015,201.38025,0.7922884,417.4732,226.16403,0.42153746,423.22253,243.65942,0.23524661,423.46515,261.79843,0.2714174,432.30508,312.00995,0.6269801,432.44022,325.67603,0.34588596,423.0019,213.48033,0.8413286,439.55502,300.26285,0.6352673,305.20392,200.13641,0.8373652,358.66574,297.93997,0.6740073
5,377.83292,188.61617,0.8391342,377.69458,201.93309,0.743322,413.4563,222.0915,0.5001605,383.36755,305.2484,0.20502196,432.91928,283.73596,0.27707413,428.84674,319.3097,0.62554216,421.42334,337.01358,0.33214387,421.2558,213.1159,0.84172034,441.03616,306.3468,0.7242456,305.09186,199.73505,0.86130756,358.46478,294.59372,0.6955306
6,377.1249,188.48238,0.8066415,375.34747,201.92134,0.7361057,411.94946,219.6234,0.6486095,383.9339,305.74228,0.24317749,433.45834,284.78964,0.3142211,425.2608,327.4639,0.6101099,419.8676,339.36597,0.3860739,420.68164,212.57155,0.84323144,439.47235,314.31937,0.6056358,304.5501,199.44647,0.8810834,358.0508,293.9834,0.63888407
7,375.18567,187.8185,0.7854018,374.4073,201.68684,0.74854636,411.0526,220.34589,0.62931126,423.68893,240.55173,0.2513792,434.58307,286.14148,0.26143393,433.50195,317.1658,0.4203932,415.99573,342.23514,0.25730893,420.02045,212.98024,0.8113822,444.16183,312.38724,0.4399131,303.92642,199.27078,0.8737728,359.06964,292.52515,0.60830843
