scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,391.2458,264.7637,0.8826592,386.92038,284.8523,1.0,398.83365,360.7323,0.88077766,384.145,405.1807,0.80024606,380.31012,424.4457,0.90648454,364.95023,455.5359,0.7513285,363.27213,472.9694,0.9225011,439.56506,283.86923,0.78030634,426.576,435.78354,0.7398561,313.24228,264.90985,0.5772133,301.4394,417.99393,0.81100166
1,390.42432,263.89008,0.8608292,386.04816,284.13144,1.0,398.35596,359.281,0.9040727,383.82236,402.30234,0.8015233,380.0869,421.61523,0.94761103,364.46756,456.39932,0.74491334,363.1186,471.74695,0.9541132,438.99396,283.2892,0.8145523,427.27838,434.28348,0.76945513,313.08548,264.6239,0.61233085,301.54828,417.2163,0.9146562
2,391.22333,265.15903,0.8549387,385.69095,283.80765,1.0,398.44998,358.4333,0.84907967,383.83505,402.3007,0.8025004,380.29868,421.5457,0.94353867,363.97476,456.01105,0.7224589,362.7561,471.62766,0.8975641,438.29214,282.88504,0.8248922,426.50836,434.21573,0.76504827,312.8751,263.9964,0.6133687,301.98767,417.07895,0.9175701
3,391.39572,265.01578,0.852116,385.84195,283.67233,1.0,398.78543,358.2355,0.8167907,383.92953,402.28876,0.8112992,380.39728,421.3223,0.9512623,363.8141,455.9843,0.72799754,362.3841,471.5556,0.91932213,438.1914,282.9151,0.8291854,425.9702,434.51205,0.7695724,312.91498,263.8873,0.6146341,302.47,416.98657,0.9261921
4,391.23517,265.05197,0.85178095,385.60394,283.89282,1.0,399.0035,358.1209,0.8404086,383.77426,402.08447,0.8164817,380.39102,420.70428,0.9456832,364.59775,456.3403,0.70221764,363.0721,473.11862,0.8351473,438.50806,282.5845,0.8354192,426.21524,433.92252,0.78831613,312.9239,263.77194,0.6185158,302.20724,416.468,0.90822107
5,390.9769,265.19406,0.8602397,385.34592,283.7887,1.0,398.5069,358.3317,0.8341741,383.64807,402.33905,0.8094154,380.07062,421.1133,0.9408277,364.47638,456.00113,0.7396708,363.41943,472.1157,0.90464044,438.48688,282.76083,0.84097683,426.505,433.92868,0.78330714,312.56982,263.54907,0.6087585,301.9943,416.44904,0.9034888
6,391.18964,265.13992,0.8579789,385.4987,283.6137,1.0,398.51328,358.46063,0.8727433,383.74985,402.14722,0.8337474,380.25134,421.10886,0.96950114,365.237,455.27295,0.75289273,363.4586,471.07343,0.9112321,438.22073,282.6074,0.8373876,426.48984,433.77774,0.808141,312.72937,263.42596,0.61183244,303.08325,415.74216,0.93102306
7,391.27856,265.23218,0.8619459,385.4874,283.3761,1.0,398.54807,358.3245,0.85736793,383.54285,401.93063,0.79025036,380.2472,420.9149,0.9330416,364.8585,455.1462,0.7468002,363.67645,470.92337,0.8983666,438.42996,282.30988,0.84190214,426.77533,433.4545,0.8165084,312.56152,263.61807,0.61533344,303.20612,416.10654,0.91872466
