scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,213.50996,284.34082,0.9126865,216.08755,301.72427,1.0,152.72037,375.60876,0.8225579,124.823814,415.73288,0.8839974,117.08593,437.28937,0.98346627,110.125275,462.99512,0.6654797,116.72801,475.7032,0.5984269,283.8747,305.5022,0.72256345,198.86803,469.63663,0.9123202,169.89749,272.2319,0.9511133,99.13313,440.92963,0.7711222
1,214.16208,283.3271,0.8925334,216.79025,300.3108,1.0,152.52075,374.86255,0.8856588,123.54411,414.2319,0.9307798,117.56124,434.68033,0.97186685,109.71345,462.11224,0.66820693,116.65752,475.2494,0.6115125,283.76422,304.9406,0.6854708,196.1289,467.87433,0.9584189,170.35594,271.94376,0.92998856,98.48288,438.14288,0.75804394
2,214.5684,282.87054,0.8965515,217.23921,299.57465,1.0,152.84952,374.34833,0.8843255,123.234146,413.7469,0.9427711,117.486115,433.63196,0.9638777,109.99867,461.6296,0.66645217,117.13189,475.59668,0.60578746,280.63635,304.00247,0.7013191,196.12537,467.21338,0.92901725,170.56508,272.2388,0.9185432,99.29013,439.4914,0.7456022
3,214.5152,282.991,0.90139383,217.1602,299.90564,1.0,152.70412,374.3724,0.88158494,123.74889,413.60513,0.9619466,117.58415,434.0295,0.99094474,109.93354,461.7214,0.6686723,116.457794,475.17426,0.61680317,280.50314,303.70456,0.7071382,196.13055,466.95258,0.9378493,170.5537,272.01956,0.9157367,98.4821,437.51205,0.7466644
4,214.55138,283.03336,0.9097336,217.18211,299.7869,1.0,153.68634,374.0382,0.8634534,123.89344,413.2312,0.97574145,117.87718,433.08862,0.97477,110.35181,460.99112,0.67866296,117.45041,475.18173,0.6051403,280.85272,303.81686,0.6910732,196.00288,466.85107,0.9219038,170.41858,272.05966,0.9299163,99.27004,439.18698,0.7552566
5,214.4297,283.00302,0.9193931,217.22903,299.69003,1.0,153.9257,373.9771,0.8724566,123.49851,413.08453,0.95945036,117.92119,433.38684,0.9797089,111.28938,461.35727,0.6714449,118.076416,475.09738,0.583952,280.95163,303.69803,0.69976044,195.45612,466.72906,0.92617655,170.54729,272.05576,0.9258306,99.661896,439.6924,0.7534977
6,214.69266,282.92062,0.9168959,217.59177,299.63824,1.0,153.82373,373.82907,0.87003934,123.61634,413.61447,0.94657093,117.83149,433.91815,0.9746713,110.446724,461.35895,0.6708286,117.261734,475.53333,0.5994071,281.38422,303.43658,0.7336809,196.72949,467.08023,0.9310286,170.45892,272.08383,0.9245411,99.57685,440.26935,0.7387913
7,214.83998,283.16925,0.91974413,217.51967,300.07776,1.0,153.91194,373.89438,0.86849123,123.842224,413.11548,0.9424376,118.06094,433.1937,0.95930886,110.808304,461.07156,0.6877461,117.84911,475.3412,0.6125015,281.3059,303.69354,0.7262469,196.4619,467.08505,0.9046113,170.5884,272.00705,0.9250078,99.60508,439.36102,0.7446264
