scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,397.3433,193.20837,0.9254832,394.2848,204.7027,0.85538447,440.93945,266.1214,0.97008294,449.60904,307.492,0.94096464,453.56818,325.02896,0.78048265,458.4808,367.16205,0.6965282,419.46136,388.07483,0.72496176,434.16196,196.58331,1.0,477.65152,331.4883,1.0,326.19507,209.8245,0.89925194,359.98016,347.57977,0.5686962
1,396.59732,199.1891,0.9606493,393.94684,210.06253,0.9645168,438.81808,268.6016,1.0,449.0383,311.52518,0.8591422,456.00943,330.18988,0.75142264,442.68622,377.3004,0.7426349,438.9708,394.1258,0.797184,433.92798,200.91136,0.9331175,480.7278,342.2703,1.0,323.6893,216.41,0.8682096,376.6272,354.0302,0.6799767
2,396.52606,192.7971,0.9027985,393.35785,204.45284,0.8587009,440.57233,265.4303,0.9788676,450.00848,305.85358,0.7817979,453.65817,323.96698,0.6423107,436.76184,383.83313,0.788726,431.3019,398.91476,0.8935875,432.9747,195.93663,1.0,473.96912,343.0021,1.0,324.64615,209.84933,0.93038315,376.51578,350.62665,0.72119385
3,396.76666,191.65724,0.89448947,393.93228,203.26888,0.8652475,441.08472,264.0818,1.0,449.45602,306.231,0.8312758,452.89935,324.5351,0.7260564,434.26938,384.2724,0.7821931,431.31042,397.5869,0.8474259,433.13843,194.6764,1.0,473.27066,342.2923,0.99877125,325.28812,208.75237,0.9051552,373.44992,348.73767,0.76294225
4,396.35907,189.82661,0.87127584,394.301,201.81392,0.8458133,440.5631,261.84048,0.9972348,449.5556,305.0395,0.83520997,453.048,323.01395,0.7491142,432.2042,386.64868,0.7417998,428.54962,399.4999,0.8372759,432.98972,193.9667,1.0,474.01846,340.9985,0.9934966,325.53003,207.49223,0.8774775,372.5883,352.16043,0.7332614
5,396.60394,187.9959,0.8552604,393.5933,200.99428,0.84516025,440.647,258.207,1.0,449.39502,302.25192,0.7528374,452.349,319.6677,0.69709015,429.09814,388.3445,0.6938363,423.08322,400.30063,0.8172897,432.7224,193.0387,1.0,473.2668,339.80463,0.94991124,325.44727,209.03157,0.838566,368.8587,348.32104,0.7739554
6,397.16068,186.6245,0.87598354,393.52176,199.19997,0.89813626,440.97583,254.57893,0.9697832,448.71347,301.32642,0.6786822,452.43753,319.40247,0.5921497,427.3302,389.45416,0.6765632,420.36438,401.41348,0.8748899,432.11942,191.34723,1.0,473.8029,339.1836,0.9249516,325.10907,206.49959,0.8567046,364.597,347.62454,0.7097295
7,396.41943,186.26016,0.90675867,393.66443,197.6628,0.9604193,441.23483,252.13054,1.0,445.87253,300.83313,0.57003635,451.16916,316.42072,0.4438333,427.02048,387.04095,0.61978346,419.06818,399.68573,0.7467773,431.4559,189.41377,0.9706375,473.10873,334.99667,0.89014155,324.9868,204.68976,0.86050904,366.49307,347.75165,0.6935509
