scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,255.06404,165.38445,0.8988555,254.74904,182.05746,0.90084535,161.07045,217.7618,0.5697057,133.86678,245.66887,0.88222784,124.365074,267.14355,0.98357385,120.74016,298.68027,0.78182095,125.762764,314.10757,0.5875178,308.76047,182.48322,0.97018886,205.48769,311.08905,0.879292,212.43378,177.37265,0.70749044,108.52909,286.42957,0.7536169
10,254.9051,165.09682,0.8964224,254.57866,181.89868,0.9074716,161.20685,217.72273,0.5693648,133.86894,245.40027,0.8783148,124.31276,266.8325,0.9873116,120.48603,298.66568,0.7897376,125.09272,313.89377,0.59177256,308.72684,182.44824,0.9602718,205.01103,311.56693,0.8542225,212.32655,177.26576,0.70491743,108.07428,286.8143,0.75188446
11,254.60599,165.13826,0.8888103,254.32161,181.97894,0.91748863,161.233,217.60902,0.56969804,133.77525,245.35199,0.8732609,124.12221,266.85812,0.98051447,120.53696,298.59406,0.8070738,125.262634,314.3075,0.5975819,308.5234,182.65471,0.96657306,204.79543,310.5092,0.8703479,212.35999,177.1287,0.6954223,108.04681,286.7039,0.7478567
12,254.68729,165.39357,0.9081999,254.21815,182.27852,0.9248145,160.83107,217.65569,0.56149447,134.03366,245.156,0.8681809,124.3122,266.5815,0.9797967,121.35879,298.4861,0.759939,126.492516,313.49902,0.6074119,309.08368,182.6527,1.0,204.80968,311.29166,0.8593162,211.92198,177.54239,0.6957506,108.171524,286.88962,0.78096825
13,254.63385,165.08655,0.89780325,254.21516,182.19771,0.9160722,160.56654,217.75197,0.5639483,133.87276,245.34604,0.862325,124.32118,266.86127,0.97366244,121.342255,298.541,0.75380594,126.32967,314.25787,0.6026529,308.8356,182.33612,1.0,205.83769,311.9422,0.8428733,211.83727,177.78528,0.7000708,108.40839,286.9522,0.7609444
14,254.49097,165.2386,0.89815587,254.11395,182.41405,0.92037195,160.55008,217.81139,0.56346995,133.85541,245.4828,0.86760986,124.35962,266.9791,0.97940683,120.196846,298.8395,0.8048915,126.79221,315.15353,0.62987095,308.56586,182.3091,1.0,205.15488,311.5998,0.8584064,211.82729,177.98555,0.7015223,107.81807,287.68073,0.75620574
15,254.80835,164.92355,0.889381,254.55264,182.07559,0.91302943,160.40746,217.9502,0.5648084,133.77815,245.70833,0.8763697,124.21715,267.04626,0.9818799,119.5019,298.8946,0.804369,126.27149,315.43484,0.6216555,308.66446,182.2008,1.0,205.56651,311.75482,0.84596646,211.70345,177.90062,0.6979098,107.43532,287.5084,0.75663745
16,254.79596,165.04576,0.882048,254.43672,182.2921,0.91375726,160.47437,218.23186,0.55900115,133.83997,245.84315,0.8903439,124.27099,267.2032,0.98852473,120.381294,298.8382,0.77771795,127.30883,314.16116,0.5986889,308.59595,182.08385,0.996009,204.94484,311.30014,0.85186857,211.73595,177.94238,0.69446284,107.743034,287.24222,0.7679895
17,256.36166,164.16975,0.87579715,254.33487,182.12541,0.920404,160.41924,218.07222,0.56029916,133.80177,245.85443,0.8843297,124.34584,267.1002,0.983021,121.255424,298.63113,0.7590588,125.66099,313.61264,0.5912253,308.31274,181.7855,1.0,205.07477,310.882,0.862341,211.70436,178.04152,0.6969521,108.008446,286.79898,0.765991
18,256.41595,164.2979,0.89122003,254.23894,182.23013,0.9279956,160.57893,218.0474,0.551554,133.89783,245.75832,0.8843089,124.50569,266.9085,0.97450113,121.711296,297.9528,0.7569631,125.840836,312.48257,0.60563916,308.0468,181.92482,1.0,205.51407,311.1283,0.8841911,211.77133,177.43356,0.69480085,108.62063,286.74634,0.7484952
