scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,361.36157,219.04071,0.5278173,362.41888,247.37372,0.7226108,368.4632,302.06015,0.83059907,359.34235,348.2322,0.8486065,356.71722,366.92267,0.82095265,347.586,407.41376,0.67742676,346.45184,424.59598,0.74007416,417.27338,241.8385,0.78992736,418.92215,384.76996,0.70333123,296.5863,228.9748,0.39231363,285.05127,382.56363,0.8185996
11,361.31256,218.6998,0.5286131,362.49887,247.13202,0.7084254,368.52084,302.10855,0.8338916,359.3532,347.6262,0.86242,356.90652,366.35455,0.82867146,347.80286,408.10696,0.65412724,346.42624,425.19827,0.7036537,417.06985,242.03087,0.7856542,419.06467,384.87753,0.6957871,296.39606,229.31844,0.38689956,285.4964,382.88605,0.8198546
12,361.13162,219.67104,0.5306974,362.2145,247.268,0.72027326,367.2291,301.69687,0.81622684,359.88046,347.51718,0.83874357,357.02942,366.67996,0.83931005,348.16354,408.31076,0.6498677,346.9606,424.28403,0.74022955,416.833,241.48422,0.754728,419.87726,384.78342,0.68646604,296.81326,229.35283,0.37228146,284.38104,383.141,0.7716104
13,360.85248,220.29399,0.54536533,362.0857,247.16747,0.75632185,368.82324,301.39017,0.81108207,359.60553,347.54767,0.85735375,357.2447,366.5658,0.8461548,347.4346,408.855,0.611999,345.74808,425.68393,0.7049797,416.79935,241.12767,0.7405127,420.96783,384.1595,0.6720452,296.90115,229.10341,0.3799898,285.9176,383.0041,0.7659112
14,360.86227,220.16661,0.5468051,362.24783,247.11528,0.75165915,368.61453,301.58597,0.8191118,359.59875,347.45712,0.86556274,357.1274,366.6128,0.8515974,347.27405,408.23907,0.65213543,346.0383,425.06302,0.74563587,416.90042,241.38196,0.7539158,419.96188,384.54373,0.6900682,297.06454,228.87857,0.38350698,284.06207,382.90158,0.7464063
15,360.9818,219.97464,0.5473078,362.37082,247.06432,0.7493534,368.36188,301.8071,0.8182291,359.7196,347.33133,0.8418857,357.20837,366.4756,0.8349138,347.77756,408.71136,0.6330224,346.76593,425.36633,0.70041084,417.20584,241.5379,0.75400585,420.19397,384.2059,0.67044353,296.87625,229.18742,0.3904643,285.2334,385.15817,0.7654925
16,361.37744,220.00568,0.5528391,362.33398,247.493,0.75405097,368.28598,301.93173,0.8306823,359.42218,347.61414,0.8593012,357.2232,366.68988,0.84732354,347.52237,408.20062,0.65721303,346.19598,425.17242,0.6821599,417.26434,241.44128,0.7580023,419.67935,384.97708,0.70138496,296.81857,229.04156,0.38801175,285.79504,384.0223,0.80092096
17,361.74664,219.2319,0.5516552,362.43408,247.29839,0.7686597,368.21844,301.66888,0.8140123,359.4531,347.83945,0.8692152,356.96158,366.80734,0.8410256,347.47656,409.18463,0.6207188,345.90152,426.87506,0.6566078,417.51007,241.61766,0.76690876,419.04688,384.95175,0.69778097,296.77704,229.01059,0.3812643,285.7475,383.63486,0.80588657
18,361.7468,218.91267,0.5489053,362.59128,246.97284,0.7562817,368.3578,301.99496,0.83698136,359.5495,347.1303,0.8658885,356.98453,366.40863,0.8585365,347.03024,408.83673,0.6335589,345.45734,426.1777,0.6839767,417.2554,241.13661,0.7420989,419.7409,384.6766,0.6947121,296.94458,228.95901,0.38198918,285.8066,383.06696,0.8092805
19,361.61465,219.69833,0.54326487,362.2162,247.25282,0.76174587,368.25665,301.95093,0.81159234,359.23804,347.71033,0.8665637,356.51807,367.0144,0.8575759,346.71722,407.97702,0.67160004,345.4653,424.49985,0.74245244,417.3503,241.34311,0.75056285,420.03625,384.76593,0.70084924,296.90335,229.14847,0.37087244,286.32373,382.7845,0.77801347
20,361.41568,218.90381,0.53351045,362.57385,247.21614,0.7449704,368.30307,301.441,0.82665163,359.4597,348.0299,0.8446083,356.71997,366.8057,0.8413211,347.28513,408.67624,0.6407324,345.60336,425.6579,0.7146555,417.096,241.07811,0.74078906,419.07806,384.91788,0.71327764,297.11102,228.58923,0.38119346,284.85352,383.01035,0.7753695
21,361.72247,218.72346,0.5394239,362.534,246.8633,0.7416084,368.4184,301.9683,0.8327819,359.11316,347.95718,0.8637104,356.52222,366.98004,0.8430164,347.74768,408.6914,0.6371408,346.0952,425.90192,0.67948955,417.09256,241.10516,0.7488158,418.7757,384.7556,0.70255005,296.6547,228.39476,0.39381433,284.85504,383.2183,0.76807535
22,361.08896,218.87582,0.55269325,362.30865,246.87778,0.7422252,368.12656,302.11087,0.83666617,359.4457,347.84442,0.8609357,356.62433,366.8149,0.8329247,347.43735,407.41107,0.6589885,346.1702,424.01987,0.7178476,417.23486,241.20651,0.75855356,420.29236,383.87167,0.6995602,296.68182,228.26317,0.39290348,284.59302,383.63434,0.7709486
23,361.2899,218.55312,0.55347955,362.3238,247.0612,0.73110336,368.09125,302.03384,0.84476316,359.36383,347.81168,0.8879527,356.51648,366.59607,0.8544177,347.69302,407.19705,0.65724474,346.20374,423.93073,0.71637666,417.32776,241.17134,0.7794113,419.87097,384.17294,0.6870146,296.47427,228.62251,0.38262323,285.19736,383.51486,0.7803139
24,361.03772,219.96194,0.5491793,362.2058,246.96301,0.72920173,368.09885,301.20578,0.8485676,359.24747,348.43314,0.88037115,356.35394,367.41766,0.84168386,347.80164,410.73688,0.6452184,345.26462,426.22006,0.68521583,416.5947,240.89372,0.7540463,418.94504,384.10803,0.725448,296.24872,228.67235,0.39390972,284.1444,383.26257,0.7860255
