scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,222.92302,233.11624,0.6853452,220.88583,256.52045,0.7739646,142.87878,316.99716,0.63422304,111.17125,355.32135,0.8395576,101.07079,375.25797,0.9027544,98.97578,409.0104,0.8028613,105.16209,426.24783,0.77695423,281.60022,257.5342,0.7669514,186.7533,412.5664,0.80672127,178.10774,240.69931,0.87843204,87.838684,380.72058,0.733368
11,219.8842,234.39825,0.68685466,220.99893,256.92648,0.7679751,142.78903,316.91754,0.62323534,111.08056,355.5522,0.8612607,101.108536,375.7161,0.92153,99.059715,408.666,0.79765666,105.64468,425.6251,0.7588817,281.55405,257.6625,0.7831215,186.46835,412.63367,0.812781,177.88193,240.44217,0.87085956,86.86933,381.9217,0.710358
12,223.18849,232.7794,0.70321155,220.87065,256.64282,0.78301084,142.83751,317.22833,0.6114982,111.476654,355.79587,0.8208494,101.24246,375.96396,0.9011086,99.43246,408.6673,0.80187535,107.39747,422.50778,0.72318923,281.6474,256.97845,0.8063891,188.16978,413.3376,0.8059139,178.25914,240.43088,0.87159485,86.766205,381.36017,0.75194263
13,223.27522,232.96626,0.7139099,221.52188,256.96564,0.790451,142.51895,317.28165,0.61198777,111.242294,355.467,0.8548245,101.073395,375.83908,0.9294474,99.24484,408.52786,0.80584997,107.11665,422.54056,0.74755573,282.11636,257.11252,0.7967992,187.63269,412.7558,0.8120791,178.22122,240.36313,0.8843149,86.42236,381.42737,0.75147426
14,222.79805,232.93481,0.71261543,221.20576,257.0819,0.796238,142.50212,317.03598,0.61187196,111.06338,355.5735,0.86122036,101.127975,375.9915,0.9438415,99.26682,407.9193,0.8137083,103.07179,423.74564,0.7372145,282.04013,257.25208,0.8043303,186.68762,412.10895,0.7515067,178.1325,240.31648,0.8831635,86.426216,381.92776,0.7743259
15,222.84396,232.94093,0.7154557,220.95204,256.94012,0.79390115,142.76732,317.05606,0.61749876,111.16633,355.60678,0.86295867,101.141136,376.1541,0.94409895,99.59179,408.8032,0.81622046,103.560524,424.32352,0.7283421,282.05875,257.18765,0.7994923,186.73524,412.52234,0.7746116,178.15356,240.16855,0.86819094,86.23099,382.04562,0.77610844
16,222.60426,232.82213,0.7152983,220.8084,256.87698,0.7857298,142.71849,317.10065,0.6168408,111.04733,355.58218,0.86008465,101.16073,375.93948,0.9404883,99.40407,408.73956,0.8314756,104.222336,424.64075,0.76056933,281.63574,257.06244,0.8006825,186.57922,412.77393,0.8088312,178.13803,240.2072,0.86515534,86.21003,382.03738,0.75859386
17,222.68016,232.5746,0.72243243,220.60176,256.78745,0.78740203,142.63577,316.93707,0.6113131,110.908264,355.68018,0.8384852,101.140915,375.7918,0.9056784,99.08075,408.1655,0.8386862,104.02923,424.63254,0.7779349,281.7412,257.0868,0.7941883,187.07349,412.8925,0.7972026,178.243,239.97987,0.85722953,86.37192,381.69702,0.762618
18,222.96109,232.69958,0.7077618,221.03275,256.76492,0.7749624,142.52162,317.07437,0.6037503,111.15403,355.6565,0.8789783,101.18883,376.18622,0.9391774,98.96967,407.9527,0.82050735,102.489174,423.41687,0.7378249,281.6496,257.14856,0.7999132,187.6569,412.5419,0.7709972,178.36249,240.27954,0.8697143,86.79751,381.26944,0.7691597
19,222.74495,232.4438,0.7108302,221.13918,256.6081,0.77640283,142.5921,317.09296,0.6086734,111.24868,355.43185,0.8610085,101.152695,375.73685,0.9323831,99.06432,407.98578,0.82505167,107.34334,422.21585,0.757643,281.44943,257.19272,0.8025252,187.6993,412.61313,0.78919095,178.37903,240.28743,0.8606319,86.54477,380.9951,0.74127
