scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,353.19504,204.72961,0.8547167,350.11707,225.3535,0.89183205,344.46417,265.4328,0.67565864,333.9102,296.56686,0.8269204,333.2027,314.53745,0.7809451,331.98364,361.35016,0.76187533,329.90222,378.91614,0.9136132,411.4583,237.08841,0.63779956,396.86002,361.35748,0.61263466,277.74393,213.17192,0.7222514,261.3317,342.88034,0.7037821
1,352.05704,206.70755,0.90033305,350.61096,226.18954,0.9374142,345.137,265.72144,0.71674365,330.80362,296.46436,0.74939203,332.00894,313.61322,0.64314914,331.8529,365.4296,0.5334328,330.58163,383.93085,0.8020926,411.6445,237.29977,0.64959365,397.55408,363.35168,0.5893079,277.5233,213.00264,0.71605265,262.0771,341.73996,0.6393113
2,354.5838,205.54826,0.8714685,351.50772,226.01955,0.9177655,347.4277,265.20142,0.70144135,334.09125,296.52078,0.84405863,332.92093,313.31958,0.6845224,331.11996,364.949,0.6260338,329.38794,383.24673,0.87319607,412.02924,237.29446,0.6485267,393.0758,365.9806,0.647523,278.63348,212.9032,0.71869045,263.4061,342.1686,0.5030767
3,354.5577,205.31573,0.85867447,351.53345,225.79364,0.9097862,347.88864,265.37933,0.7006968,334.60162,296.11313,0.8595353,333.13867,312.70517,0.71972835,329.01904,366.7376,0.6814527,329.21994,385.2425,0.8906647,412.2835,237.25548,0.66478956,392.5446,366.01776,0.6524449,278.79996,212.94852,0.73910356,269.24402,344.4799,0.4656
4,354.68436,205.2218,0.8654532,351.8965,225.70122,0.89640373,347.84006,265.32587,0.7071079,335.05402,296.06424,0.89353025,333.58176,312.83163,0.78840816,332.80313,366.00073,0.6046882,330.6233,385.34592,0.8553811,412.0862,236.98405,0.65067637,392.07227,366.09824,0.6859152,278.77332,212.95927,0.7280976,270.0267,344.33182,0.46275067
5,354.7218,205.07707,0.8670119,351.94354,225.76349,0.87780786,348.04205,265.08273,0.70436645,335.08975,295.91214,0.90747505,333.81494,312.62997,0.8060295,331.73547,366.61307,0.5954389,329.02094,385.2167,0.85216373,412.12787,236.98685,0.63085145,392.15155,366.41318,0.6816086,277.78622,211.30856,0.73628974,271.35992,343.91635,0.4375615
6,354.88248,204.99469,0.8720567,351.71408,226.05963,0.8683132,347.75677,264.98434,0.68249714,335.14648,295.59866,0.88893676,333.86505,312.40036,0.7973467,331.91824,367.32156,0.6125154,329.58337,385.7976,0.81679267,411.95816,236.93698,0.6476237,391.16934,367.14838,0.6331191,278.3589,211.88895,0.7398869,268.7433,344.18298,0.45947117
7,355.16553,204.9621,0.8720849,351.98834,227.20433,0.8545967,347.68115,265.0336,0.6567961,335.2993,295.81192,0.864968,334.09375,312.34833,0.7807472,331.50357,367.35037,0.55632216,328.45645,386.53973,0.79219866,412.6699,236.58374,0.65585417,391.8988,367.87048,0.56426567,278.40854,211.45084,0.7303668,269.18674,344.41296,0.5111135
