scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,207.70433,259.7822,0.9105628,209.75093,277.66565,0.9526512,136.30217,342.69177,0.82204914,111.95123,374.776,1.0,103.86681,397.7699,1.0,95.56227,430.41684,1.0,103.89823,447.5393,1.0,267.3567,285.7221,0.7133824,184.06342,429.36472,0.82487375,173.5558,250.64526,0.6406113,77.73188,400.52808,0.8956866
1,206.7687,262.5032,0.9612245,207.9978,280.7728,0.9757604,136.98967,344.99588,0.7758315,106.43875,380.60812,1.0,100.62331,404.13742,1.0,93.54868,439.49188,0.859636,99.13719,455.94876,0.8678209,265.2106,289.16696,0.69927484,176.47964,435.93713,0.86767524,170.48947,254.91591,0.68932503,70.85539,409.26193,0.91126436
2,206.08514,263.3857,0.94462967,206.37535,281.22214,0.996722,136.8593,346.22626,0.79826516,104.363716,381.5851,0.9648273,97.06748,405.11838,1.0,90.564705,439.43372,0.71914184,96.8481,457.06042,0.7735667,268.5938,290.11188,0.6410655,174.81247,435.32013,0.8154749,169.50912,255.137,0.6785811,71.392746,406.41992,0.87446994
3,206.77782,263.22995,0.95161873,206.57518,281.49884,1.0,136.76097,346.27145,0.8094811,103.69913,382.2683,0.93982136,96.177864,406.2393,1.0,91.30567,444.41656,0.59306985,98.33445,457.64725,0.58915395,266.25345,290.37796,0.61701196,172.27411,436.35074,0.8807446,169.7576,255.01796,0.6874585,71.51616,407.46347,0.88036865
4,207.15672,263.27777,0.9786275,207.06491,281.25192,1.0,136.6586,346.1345,0.8048382,104.10286,382.26105,0.9365531,96.44343,406.49887,1.0,92.942184,449.35464,0.6065713,98.72854,458.84943,0.5925708,267.55176,291.0121,0.62486345,171.56992,436.66495,0.87065053,169.27867,255.0702,0.693959,71.29221,409.89368,0.86961156
5,207.43658,263.5086,0.98852664,207.28648,281.20544,1.0,136.89407,345.94876,0.8030424,103.86647,382.62125,0.96348685,96.455635,406.86984,1.0,95.7758,451.03336,0.6244383,101.06317,459.05765,0.5620053,267.8913,290.9945,0.6289307,171.13902,437.09598,0.8790446,169.25452,255.23953,0.69553584,71.38571,410.1275,0.85745764
6,207.5894,263.4197,0.9901483,207.23526,281.27716,1.0,136.48927,345.84198,0.81786555,104.12852,382.3515,0.9439002,96.179436,406.56494,1.0,97.363884,452.8469,0.6020929,102.20962,460.19876,0.50811374,267.98425,290.8318,0.6347825,170.09789,436.84787,0.87710613,169.43933,255.03206,0.70401865,71.31824,410.49716,0.85164165
7,208.17514,263.3739,0.99117523,207.95811,281.70612,1.0,136.50511,345.08417,0.8219725,104.22597,382.31384,0.93182385,96.35382,406.6367,1.0,98.64132,453.53568,0.56497693,102.95863,460.44336,0.45271176,268.81284,290.82217,0.645223,169.69463,436.9593,0.8830205,169.52443,254.9343,0.703725,71.72799,411.30606,0.84500515
