scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,372.38644,242.20691,0.8389319,368.41476,262.39255,0.91689706,367.11453,329.80618,0.92586935,357.75183,371.0358,0.9891188,358.10986,387.29547,1.0,342.25684,430.79465,0.70444703,337.9655,445.78598,0.8605658,426.04315,264.84665,0.7015017,415.35132,404.99042,0.76134866,297.41553,240.83865,0.49318403,279.4235,397.69193,0.793926
1,374.54507,245.22237,0.8070666,369.53064,265.56296,0.9044572,368.91745,334.62253,0.97558707,356.09665,376.0484,1.0,354.81668,397.08167,0.9124466,343.40323,442.00302,0.638197,335.67276,457.96692,0.79167926,426.57828,268.18314,0.63956326,408.6974,410.19467,0.75934416,297.43195,244.33524,0.47617358,279.20728,402.76086,0.8583663
2,375.61374,245.84004,0.7849231,370.34338,265.93018,0.917213,370.47583,334.43582,0.9728035,357.35208,376.89523,0.97690105,355.5437,397.49515,0.89753926,393.14108,447.11035,0.57323724,386.98047,459.51074,0.5756664,427.83188,267.41724,0.6572909,408.00003,414.06686,0.80538946,298.72507,244.15326,0.50127596,282.75943,402.23483,0.9297259
3,375.63058,245.58884,0.7909977,370.5275,265.36047,0.92824876,370.79343,334.48505,0.99766487,357.7478,378.11624,0.9643039,356.03317,398.6186,0.8788523,341.3955,447.32907,0.6165211,335.72983,461.8313,0.65884095,428.31,267.12665,0.66094345,407.53384,414.55054,0.81238705,298.97473,244.16061,0.5118174,283.70947,403.31934,0.91451734
4,375.64218,245.09647,0.78666675,370.8053,265.02142,0.91943073,371.0558,334.6267,0.9692308,358.1689,377.8026,0.96032083,356.6909,398.6788,0.88699704,341.39935,448.5471,0.6309109,334.92252,463.4916,0.666627,428.60394,266.75586,0.6504749,408.2762,414.88815,0.7900675,299.06702,244.20955,0.50229865,284.13803,403.88205,0.8946501
5,375.50375,245.00948,0.77783495,370.64963,267.21832,0.89697325,371.5729,334.24786,0.9801156,358.65604,378.9357,0.9495343,356.78717,398.0686,0.89552015,340.2474,447.49072,0.6710288,334.46115,462.1558,0.6816979,427.61423,268.0458,0.6331996,408.14355,414.63647,0.7874324,298.87308,243.57037,0.5132975,284.08163,403.41837,0.881291
6,375.64413,244.61578,0.7854841,370.90613,264.20718,0.9007153,371.56146,334.6312,0.97300756,358.79547,378.78186,0.96797484,357.26456,397.39337,0.88836837,340.2267,449.22525,0.6136817,333.35425,463.23068,0.6652483,427.50555,267.91397,0.6369327,407.7466,414.85364,0.78125346,299.25516,243.32753,0.5255309,283.32144,402.7493,0.8719722
7,375.21646,244.15741,0.78064495,370.47513,264.05115,0.89599115,371.31155,334.36664,1.0,359.38092,377.95154,0.96479946,357.74335,396.25827,0.9123805,339.94946,449.66882,0.61678755,332.94873,462.94968,0.6784484,427.1565,267.83258,0.63300735,406.52805,415.32712,0.80096906,299.41727,243.39304,0.52698046,283.46658,401.97592,0.88597417
