scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,368.9983,193.85289,0.84849,367.84796,208.12125,0.9085504,406.93198,245.5571,0.82829,413.54083,276.4985,1.0,417.48068,292.61838,0.9967487,420.52332,327.5841,0.76463884,417.62802,342.8235,0.77025867,413.973,216.71254,0.7228355,449.16562,327.24106,0.7884516,296.237,207.85141,0.80621547,336.39468,329.86432,0.99556404
1,369.34006,194.41148,0.86059093,369.08063,208.36778,0.91697735,406.9828,245.6425,0.8309609,413.71133,276.92728,1.0,417.71228,293.09375,0.98093855,417.5739,325.8188,0.71678257,419.5166,343.6451,0.7771002,414.38943,216.58966,0.7285495,449.84116,327.1712,0.7936347,296.31744,208.36491,0.83782876,335.71976,330.5934,0.96257865
2,369.1538,194.57715,0.8603707,369.0127,208.62778,0.9174659,406.8518,245.69992,0.8208311,413.6994,277.17996,1.0,417.9261,293.6376,0.99411416,417.37335,326.75748,0.7184278,419.45142,343.9412,0.7864549,414.327,216.93161,0.7282901,448.1849,326.0644,0.77971613,296.5147,208.01768,0.79733306,335.84622,330.8996,0.96044725
3,369.07376,194.58653,0.8606393,368.9935,208.59601,0.9147502,407.00198,245.55325,0.83284533,413.7664,277.13565,1.0,417.88925,293.69977,0.99839747,419.9328,328.0319,0.72414184,418.90298,343.8924,0.7829284,414.22293,216.8229,0.7253325,448.01538,326.35236,0.783997,296.2166,208.0476,0.8166597,336.69363,331.1773,0.9628349
4,368.79242,194.05574,0.85735786,368.88956,208.6053,0.91121876,406.9971,245.79822,0.8154357,413.67136,276.92853,1.0,417.8925,293.6122,1.0,416.80872,326.84927,0.6869527,418.64536,343.9643,0.7737204,414.31845,217.058,0.7375018,449.637,329.01193,0.7815852,296.13864,208.06424,0.80719125,336.397,331.36438,0.96661526
5,369.1352,194.60648,0.8581038,369.04385,208.67534,0.910884,406.961,246.03026,0.81643933,413.49734,277.6615,1.0,418.01514,294.08292,0.9989839,417.37933,327.1397,0.6744096,419.26962,344.01514,0.77903426,414.3018,216.92636,0.7341392,449.59845,328.93445,0.7877495,295.9949,208.25659,0.797147,335.67654,330.53094,0.95387715
6,369.09607,194.8145,0.85832167,369.01834,208.85504,0.91036993,406.8653,245.86916,0.8260118,413.89117,277.58246,1.0,418.37143,294.4498,1.0,417.2124,327.43933,0.6672665,418.71786,344.57248,0.7816399,414.308,216.83318,0.73443276,447.75742,326.93875,0.7793611,296.37057,208.25359,0.8116596,335.69284,330.94998,0.9649982
7,368.69656,194.33264,0.8576803,368.73325,208.88402,0.90675634,406.77203,246.23338,0.819542,413.688,278.07233,1.0,418.15237,294.80466,0.98271394,418.33777,329.18362,0.6973701,419.33087,344.8597,0.8148641,414.35675,216.73106,0.73133916,447.49084,327.28012,0.8081002,295.78058,207.99301,0.8222176,335.96088,331.07858,0.978953
