scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,356.25476,209.44402,0.7200612,350.6921,224.78697,0.7313186,362.61917,290.50153,1.0,361.54703,330.8192,0.75575435,363.02768,347.4639,0.72922075,361.6561,389.6413,0.5695341,359.96368,404.88358,0.50555295,407.1122,219.80069,0.6363302,430.87042,348.20502,0.57873607,274.8582,221.68309,0.54763156,291.78644,361.16382,0.66148925
1,364.5823,213.62042,0.86169153,361.54037,227.72049,0.8501777,376.34207,295.08658,1.0,376.07196,334.51294,0.72221065,377.74918,350.6123,0.62884015,373.3837,391.64557,0.6406496,372.92993,407.0214,0.6516155,413.32904,217.05475,0.6338456,433.2736,352.80792,0.6742032,283.28522,224.16652,0.6180757,301.31485,364.5563,0.7629837
2,368.10504,214.93166,0.84704113,365.07574,228.99184,0.92376375,383.4149,295.51712,0.9827811,384.5348,338.40076,0.77123046,388.60144,353.5847,0.7467101,384.58386,396.88965,0.62658226,387.04996,409.63367,0.49909818,419.21973,219.72221,0.6314066,437.03534,360.34955,0.8193346,288.40872,224.73938,0.6887011,310.3996,371.09763,0.7927857
3,368.26596,215.59981,0.8189642,365.40372,229.68132,0.9225489,384.74542,296.9957,1.0,386.1645,338.7719,0.79956144,390.36264,354.56387,0.7351284,387.13504,397.01685,0.6757037,386.56683,410.8323,0.6179789,419.98373,219.56075,0.62983483,438.27902,361.54926,0.80734026,289.1079,225.11662,0.70307046,311.8897,370.1687,0.791201
4,370.54733,216.42519,0.8123138,366.4086,230.13664,0.9107182,386.13303,297.6871,1.0,387.9405,338.04065,0.79885054,391.53326,354.42285,0.6690777,386.19885,397.70395,0.6898984,385.5528,411.334,0.63332283,420.67346,219.7496,0.63190645,439.32944,361.98846,0.7961368,289.56216,225.64108,0.68541276,312.45276,370.55112,0.76859343
5,371.21576,216.74712,0.8259807,366.9316,230.42453,0.9079488,387.42944,299.02847,1.0,388.7642,338.45853,0.8332242,392.03418,355.21976,0.69255584,385.4329,398.75195,0.71009654,384.47192,413.19928,0.651029,421.22012,221.3605,0.7019593,439.79025,362.44254,0.7972333,290.67715,225.17644,0.73710346,312.05823,371.9107,0.76682097
6,372.1084,216.9748,0.81570095,367.6376,230.29114,0.8810303,388.6442,299.73883,1.0,389.31555,338.55637,0.8254016,392.77487,355.6369,0.70549625,386.3271,399.28763,0.7273747,384.70084,413.90134,0.6594428,422.1585,222.00052,0.70665014,439.0782,358.17783,0.8272294,291.0949,225.74564,0.7395664,311.08743,372.69708,0.7739992
7,372.81076,217.12787,0.8095254,368.17218,230.32591,0.8705708,389.3421,300.23978,1.0,389.628,340.02124,0.7712364,392.6155,356.80338,0.6391211,386.8559,400.36597,0.7092947,385.9043,414.50458,0.65088487,422.77463,221.74304,0.7212561,437.34406,360.63498,0.8447684,291.74326,226.07254,0.7356863,310.74054,372.0598,0.8042523
