scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,215.87766,231.4988,0.9610203,220.08719,245.51228,0.9925985,168.35623,317.64023,0.77356184,147.99126,356.60825,0.7887479,146.47713,375.83728,0.8609827,143.85208,412.88727,0.8914018,151.57558,425.5475,0.8214312,284.26144,239.30226,0.8002049,241.17358,390.24475,0.6118894,175.22678,235.9497,0.8075116,120.509865,383.98755,0.9475312
11,215.93842,232.60147,0.95050275,219.95308,246.20264,0.9728509,169.32585,318.28546,0.7425996,149.81548,355.7819,0.83619326,147.6056,376.24197,0.9376726,144.04262,411.80594,0.9784276,153.98239,429.0427,0.9010428,284.73648,240.26534,0.77835476,241.57475,392.00204,0.5856365,175.71452,237.14966,0.811214,121.77291,384.5073,0.9707263
12,214.79778,233.86565,0.90995353,219.13525,247.39043,0.9471397,169.78664,318.68628,0.80534935,150.3074,357.82565,0.85274553,148.87952,377.3241,0.8838689,145.1035,411.89966,0.9363235,152.87851,427.1463,0.853966,284.98105,240.76723,0.7829663,242.441,393.11862,0.6468484,175.00536,238.5635,0.87294114,122.121254,385.52176,0.96678746
13,215.87073,236.50653,0.85084486,218.08868,249.57475,0.8884539,170.9524,319.75867,0.8834492,150.04048,358.04355,0.87481076,148.17722,377.2489,0.9049589,146.35149,412.59332,0.98134816,153.38629,427.9188,0.89158696,281.20532,248.8122,0.7436253,242.95584,393.9265,0.6239806,174.6891,244.61923,0.74678755,123.496605,385.44855,0.9914643
14,214.44138,236.52917,0.89451414,217.42691,250.55115,0.88990235,168.94034,318.34384,0.92190886,150.56479,359.4537,0.8911108,150.04944,379.16217,0.9254793,148.25974,413.7126,1.0,155.02972,429.83054,0.9674451,282.03085,254.4522,0.536448,245.50357,392.91782,0.5779969,175.75333,245.12305,0.6238053,124.85658,387.60364,1.0
15,215.00705,238.14752,0.87344533,218.65599,252.13513,0.88578635,170.79424,319.21533,0.97597873,151.58162,360.1419,0.8888425,151.61273,380.6284,0.944757,150.24623,415.01224,1.0,157.02306,430.96704,1.0,283.7365,254.30818,0.525036,244.54517,395.23126,0.5613078,176.53148,247.48099,0.58712244,126.04671,389.54974,1.0
16,214.38675,239.1323,0.85520077,218.55614,253.40952,0.88821405,171.56476,319.7942,0.93540543,152.11537,360.7106,0.8573121,152.71873,381.03348,0.91227484,150.98422,416.88568,1.0,157.9805,433.5161,1.0,283.48047,255.1426,0.5650942,243.6358,396.0337,0.63589936,176.57428,251.78616,0.5635168,127.13696,390.80383,0.9929192
17,215.04495,239.36673,0.82243675,218.85847,253.35461,0.8615298,172.01396,321.47253,0.94095963,153.24037,361.58087,0.8672765,153.38477,381.9652,0.90102357,151.8629,417.46622,1.0,159.75114,433.42224,1.0,284.45245,255.13162,0.5525962,244.72847,396.67926,0.71896994,174.27512,251.52325,0.5703314,127.33781,391.93066,0.99796736
18,214.68684,240.19905,0.84185714,219.4466,254.14027,0.8984974,172.4631,322.8144,0.9617634,154.12636,361.63553,0.8963138,154.00128,382.26587,0.8656819,150.6828,417.61923,1.0,161.05846,434.3126,1.0,284.14233,253.94345,0.521687,245.07036,397.67807,0.7996633,176.54181,249.8631,0.576221,127.24413,390.45557,0.99748325
19,215.55579,239.62439,0.84507704,220.24826,253.88266,0.9005013,171.30678,325.51926,0.996932,157.83675,361.3296,0.89308053,154.13277,382.7225,0.82530224,151.45796,418.27274,1.0,161.79755,434.0952,1.0,285.59103,254.23256,0.61525416,245.4383,399.03607,0.7228856,176.7559,247.08827,0.5946485,128.10767,392.10794,1.0
