scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,380.20477,196.49034,0.9311578,381.4693,210.11827,0.87550056,433.28207,240.58768,0.90101874,443.31805,267.71365,0.8435925,452.22623,287.18872,0.82676864,458.21912,321.9387,0.82725453,457.2343,336.5419,0.74976164,423.54272,210.88045,0.768801,476.4669,311.33936,0.6944481,309.29327,213.88737,0.84640574,371.2953,331.1393,0.82171
1,379.97632,196.72061,0.9357396,381.23157,210.33066,0.8719755,432.87323,240.17564,0.8803921,442.866,267.43002,0.8387949,452.01892,287.0254,0.8259929,458.74362,321.5882,0.77291673,458.5466,336.21585,0.6736678,423.2521,210.93732,0.7774562,477.6047,313.46075,0.71970654,308.64816,214.5239,0.8431475,373.10083,332.0491,0.84626865
2,379.85214,197.28139,0.93056196,381.19363,210.66975,0.86312354,432.56195,240.05527,0.8722891,442.58115,267.1377,0.83286303,452.0762,286.69797,0.84404933,459.45813,322.02567,0.702271,459.55087,335.96878,0.55878747,423.3742,211.60535,0.79721445,477.5464,312.50302,0.7672592,308.97214,214.33453,0.83787,372.44562,330.7123,0.85550153
3,379.6813,197.08255,0.9499137,380.99896,210.57918,0.8788264,432.63748,240.14302,0.85751545,442.6868,267.25885,0.8393714,452.02048,286.69214,0.8390141,459.92474,321.85364,0.695573,460.04355,335.72,0.5661195,423.48352,211.71387,0.8031399,476.628,308.9549,0.78715044,308.52798,214.29362,0.82857686,372.0653,330.4141,0.8685837
4,380.05475,196.9527,0.9260879,381.26364,210.38264,0.8510121,432.61414,240.30014,0.8516754,441.3423,269.03262,0.8354517,451.47238,286.70767,0.82905734,458.9848,321.7347,0.7150764,459.11212,335.96564,0.5969541,423.51575,211.48161,0.79141355,477.09003,309.48245,0.7616424,309.0389,214.23315,0.84648055,373.89108,332.37735,0.875423
5,380.02432,196.53325,0.93209445,381.35965,209.99165,0.8561575,432.45596,239.87935,0.85204744,441.2698,268.72684,0.8352291,451.40182,286.7897,0.8550322,458.97992,321.81412,0.73755693,460.2654,336.29337,0.62388843,423.45654,211.79839,0.78825605,477.35846,309.1916,0.7637283,309.03952,214.07399,0.8300496,374.44913,332.3005,0.8705263
6,380.0029,196.99788,0.9340786,381.2325,210.5597,0.8665516,432.6257,239.96992,0.8683275,442.62915,267.19193,0.83037215,451.51758,286.46014,0.84413403,458.58157,321.14914,0.7565629,458.4553,336.27487,0.6670212,423.36118,211.88902,0.7920607,476.84125,309.02228,0.7385801,309.20648,214.18791,0.8359344,374.4447,331.7363,0.8891697
7,379.70407,197.33395,0.9309982,380.97836,210.64015,0.87505484,432.75793,239.87953,0.8632102,441.44684,268.65652,0.82661045,451.51172,286.17258,0.85361254,458.70413,321.41394,0.7495948,458.54733,336.4726,0.6581224,423.56802,211.71458,0.78229296,477.40253,308.9156,0.7670611,309.56897,214.1774,0.83506703,374.17236,331.8191,0.91366696
