scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,395.35544,216.98962,0.9803378,393.17233,227.78035,0.9975765,442.14273,287.75146,1.0,454.46198,326.58353,0.93625504,460.0697,342.92822,0.716946,462.0148,383.69363,0.9375746,459.51486,398.6612,0.57905406,432.59024,217.35663,0.81249183,483.04816,346.30106,0.9578265,323.3207,238.56927,0.7856214,378.92484,372.2743,0.7316597
1,394.86774,216.84169,0.9752648,392.73276,227.75935,0.98552406,441.8122,287.00833,0.9456789,453.82513,325.58282,0.93055606,459.22897,342.47336,0.72730273,460.58582,382.85056,0.93432903,457.2635,398.5852,0.6491652,432.07782,216.68471,0.8114829,483.8598,351.97263,0.9803549,322.81732,237.56755,0.7975857,378.19653,370.95804,0.6790042
2,395.0022,217.08702,0.98194146,392.71143,228.04868,0.99509484,441.8577,287.10324,0.9467104,453.5199,326.10455,0.92508227,459.28375,342.7823,0.71875054,460.94046,383.22845,0.93212104,457.4722,398.98523,0.6214494,432.10452,216.96527,0.81340265,484.20007,352.24893,0.97623515,322.82394,237.29268,0.8052172,378.34818,371.40323,0.7020267
3,394.91925,217.05685,0.98213756,392.65286,227.9816,0.9881954,441.982,287.19604,0.9579456,454.0274,326.50598,0.9187554,459.9856,342.9381,0.72824496,461.2381,382.3891,0.9782858,458.52637,397.78546,0.66871065,432.06793,217.25172,0.8155815,484.33447,351.5591,0.97598535,323.15628,238.01028,0.80182976,377.91882,371.37265,0.7007895
4,395.12418,217.0217,0.975647,392.73312,228.06026,0.989154,442.35602,287.16147,0.9989077,453.89752,326.58276,0.9371089,459.79895,343.18265,0.73831326,460.7744,382.34152,0.95907915,457.5611,398.77643,0.6471244,432.39777,216.98558,0.8084348,483.9347,352.26886,0.961143,323.06552,238.00096,0.79654986,378.26385,370.6026,0.6956699
5,395.062,216.98267,0.98235524,392.82413,227.88104,0.9902388,442.49945,287.19083,0.99283755,453.81503,326.3612,0.8958794,459.817,342.6708,0.6883463,461.0218,381.4655,0.9572889,458.7027,396.97266,0.66402775,432.40274,217.3942,0.8249464,484.1914,351.47644,0.9839499,322.2076,237.97227,0.8133093,377.6709,370.3351,0.6888682
6,394.86533,217.02249,0.982678,392.65875,227.86469,0.98888856,442.3321,287.4274,0.9867612,453.92883,326.37292,0.9216567,459.69553,342.67722,0.7173248,460.99457,381.12134,0.9591415,458.6856,396.83673,0.66255975,432.3533,217.54663,0.8076575,484.54385,351.08258,0.98294,322.19897,237.96965,0.821846,378.07562,371.6366,0.7380907
7,395.0692,217.15555,0.97832024,392.9048,228.15102,0.991965,442.28125,287.34012,0.99222654,454.0967,326.51224,0.9273658,459.97018,342.7447,0.71228504,460.64804,381.69443,0.9693841,457.695,398.45425,0.6756744,432.1634,218.1051,0.797653,484.4075,351.12436,0.97562087,322.50253,237.68262,0.816061,378.39114,371.35446,0.70070326
