scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,253.64328,233.48776,0.8554185,255.99626,246.36758,0.8761911,234.02565,309.58896,1.0,224.47192,350.42236,0.89163905,225.44116,366.82755,0.8484367,224.63742,404.18134,0.7849157,229.26361,416.69354,0.7244602,323.5006,237.511,0.7530185,308.04214,379.40057,0.8165377,204.68358,251.13214,0.77990067,182.07735,387.47537,0.91109693
1,253.85626,233.32478,0.87059736,255.99475,246.54898,0.89253074,233.979,309.04666,1.0,223.02917,349.0008,0.91381633,223.62988,365.69098,0.83129746,222.0318,404.8703,0.60165775,226.04956,415.35522,0.55496037,323.83652,237.16463,0.7568645,306.16467,380.08063,0.8010667,204.94492,250.97226,0.79423577,181.35951,387.30508,0.89044815
2,253.7789,233.64742,0.8549514,256.01044,246.64635,0.89186126,233.6661,309.14853,1.0,222.42659,347.59885,0.95503676,223.4008,365.10718,0.8327704,222.10124,404.40057,0.61497027,225.83492,414.67365,0.55285484,324.16852,237.62427,0.7714751,305.46912,379.70035,0.84291464,204.90654,251.50899,0.8012435,180.94167,386.22275,0.9031266
3,253.93443,233.75468,0.84756035,256.02975,246.60901,0.88419133,233.78223,309.1981,1.0,223.2589,348.64392,0.89114547,223.70177,365.26852,0.79327184,222.24902,404.3144,0.653573,225.99063,415.34933,0.6074386,324.26736,237.77159,0.7779764,305.44992,379.7772,0.84910715,204.85052,251.22229,0.77886575,180.56781,386.1937,0.9447431
4,254.00798,233.58981,0.8569397,256.19727,246.6578,0.91184604,233.81424,309.32343,1.0,222.83838,348.69724,0.8904511,223.65417,365.532,0.79699326,221.65846,404.57648,0.72490245,226.00943,416.2358,0.7070363,324.2466,237.73682,0.772368,305.3259,379.56665,0.78209835,204.92227,251.35396,0.7798468,180.5552,385.37537,0.9496744
5,254.01349,233.52524,0.84896815,256.3297,246.56084,0.90934855,233.88477,309.13358,1.0,223.2331,348.41333,0.8939482,224.06778,365.2711,0.7866692,222.02682,404.83646,0.626842,225.87341,415.72113,0.58567005,324.6185,237.55843,0.7833181,305.0087,379.26697,0.8246096,205.15935,251.45439,0.7854071,180.82112,386.2106,0.90982884
6,254.08678,233.47385,0.8527235,256.4168,246.53404,0.9098101,233.84196,309.15805,1.0,222.75352,348.50354,0.8882879,223.2632,365.2993,0.78790534,220.75053,403.83728,0.6869641,224.28995,415.5235,0.6286906,324.40375,237.23563,0.7651294,305.4528,379.27283,0.80661035,204.98639,251.3046,0.77278876,180.93556,386.55228,0.9071189
7,254.43353,233.53471,0.83278394,256.721,246.57616,0.8871807,233.65462,309.21777,1.0,222.73253,348.18176,0.9060588,222.80598,365.68906,0.7998693,221.66945,405.09607,0.58021975,224.21591,416.29364,0.5086815,324.54816,237.49612,0.761898,305.10657,379.09717,0.787965,205.01753,251.50352,0.7673267,181.61841,386.6231,0.9225208
