scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,400.22092,214.32246,0.91493255,398.02502,226.31444,0.9337366,451.65265,282.01944,0.9935465,464.19962,320.8112,0.6830554,470.12848,337.49252,0.63063174,466.0154,385.1384,0.8708034,461.75345,399.17133,0.7435788,436.80032,216.06844,0.94025296,497.17126,352.40704,1.0,332.16458,236.05434,0.7572789,398.08115,370.14453,0.6202573
1,342.4911,98.34313,0.24346413,347.35446,107.02261,0.32816905,425.3172,126.49968,0.2551864,419.97726,118.80481,0.36578137,428.09073,129.50165,0.23888935,453.5325,192.39522,0.32500294,454.96936,213.5137,0.50811756,436.6034,167.59065,0.20427206,450.36917,161.70062,0.41485345,267.6159,119.36829,0.7123654,373.109,196.65315,0.39506295
2,312.90002,95.74576,0.21607141,329.95154,100.969986,0.25458774,420.3869,109.918076,0.2079547,437.5619,152.3173,0.3815567,445.1167,159.61832,0.33009917,457.22556,194.3718,0.41771403,453.0516,206.78589,0.48936018,307.97858,112.52058,0.25295874,463.06073,172.54478,0.38140807,266.08386,115.58892,0.699743,372.08524,184.21738,0.33588248
3,307.67252,97.81356,0.17707336,308.30215,100.36621,0.14630933,431.1488,142.12979,0.30588546,419.382,105.31573,0.35050744,423.18402,111.07795,0.22505878,462.10007,192.99995,0.28589922,455.83713,205.10077,0.45604038,304.44788,109.999435,0.36862972,465.17264,172.87799,0.3554035,263.32047,115.04431,0.7507017,376.96732,183.25253,0.2593571
4,309.17056,86.15096,0.16453905,408.91345,146.1338,0.15648873,421.85483,131.311,0.27939588,450.94617,168.36552,0.3206478,456.0622,170.83234,0.2525262,461.32,191.69125,0.26034927,456.8731,203.98901,0.46205264,448.53503,161.6635,0.29546872,466.9337,171.7517,0.3359628,261.5746,111.46627,0.84815234,343.96085,148.20583,0.25735593
5,429.7063,138.50455,0.14917336,392.38184,144.4569,0.11512572,420.79556,131.19022,0.357772,416.40012,115.29544,0.33176145,452.5803,166.59692,0.22651517,461.29068,189.18654,0.22598521,457.657,201.27798,0.47969013,301.2609,103.411736,0.328828,462.8569,160.30684,0.31845906,258.34756,112.84977,0.770625,384.05054,160.37129,0.26600754
6,395.38885,86.14842,0.17419381,392.30994,143.96933,0.14003578,420.88382,131.37773,0.41917866,439.3956,154.1579,0.36789155,452.79678,165.2214,0.24808241,461.74072,185.96783,0.21446356,459.0214,200.29736,0.45459226,294.8856,101.95896,0.2931477,463.54047,159.24405,0.33239743,257.6154,110.63492,0.7793598,35.170258,291.8093,0.30058888
7,397.5745,137.26938,0.17528236,392.3039,144.35358,0.14566845,419.44388,129.2446,0.39470914,440.13467,152.64111,0.34031355,453.78406,164.30937,0.2722472,463.83228,186.45482,0.25602508,459.99338,199.5921,0.4188356,293.25482,102.11961,0.37961957,464.609,158.8993,0.36769748,257.11813,108.25803,0.73798996,34.713234,291.53165,0.32834327
