scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,296.20493,167.41849,1.0,297.36588,176.87857,0.92473555,261.9793,210.39635,0.9261045,250.93732,231.78375,0.853221,242.15166,250.4156,0.9657947,238.40305,288.71503,0.8222038,241.14482,307.74274,0.8371641,365.36374,177.87708,0.9975936,314.83795,284.02057,0.89257187,243.25163,188.84468,0.8796365,205.64793,277.64368,0.78894717
1,321.5512,174.87935,0.09248772,382.248,213.0535,0.14157942,321.69812,90.990814,0.118243225,328.2787,85.222466,0.20909312,330.32516,84.340645,0.29854542,326.6845,116.63093,0.31978622,329.7069,274.42725,0.30588204,582.5639,474.8596,0.25995404,361.02893,97.09389,0.17355977,543.4319,480.50235,0.22254175,294.10416,113.963745,0.32236394
2,356.18665,482.42554,0.10632278,381.22177,213.7311,0.11944413,546.6501,490.408,0.14112784,331.7806,82.26224,0.1984661,331.164,84.68543,0.2788085,328.0962,115.8187,0.3150748,334.70776,273.52353,0.45257708,583.17944,474.8969,0.24761602,361.74786,97.9972,0.18265192,544.2609,480.45767,0.23077688,316.81873,62.3289,0.30871484
3,397.58643,105.75281,0.20219488,398.48315,118.72496,0.13151075,547.20496,489.41916,0.14446928,332.5172,81.72041,0.19707333,333.70456,84.205,0.2968307,328.1261,113.7786,0.30272672,341.61472,271.48447,0.32053006,582.269,475.14944,0.22999191,359.45328,482.95108,0.20620537,544.6382,479.7332,0.21321292,301.7982,107.62226,0.3072424
4,401.18802,107.74179,0.25748366,401.60657,121.11363,0.13801616,546.9683,490.46808,0.17045952,332.52707,82.72732,0.19751942,332.8129,85.7931,0.34232774,329.61316,108.35546,0.26215053,341.04666,262.98,0.24214117,582.3129,474.79596,0.24741705,371.63492,84.502525,0.17850776,544.69507,480.40073,0.23743771,308.2724,104.03696,0.27602246
5,398.78143,109.813385,0.16409759,596.2997,485.18176,0.13027902,547.62085,490.57507,0.18592224,387.87994,136.24884,0.11336778,539.7005,512.9215,0.13033256,263.2879,482.36267,0.36809877,345.32565,261.22723,0.22049409,581.9258,474.86758,0.23830537,274.9042,475.68042,0.22806355,545.39343,480.75327,0.23367651,313.865,97.04777,0.21453202
6,375.62738,74.08044,0.21294309,374.8415,81.138435,0.21463075,337.1979,88.765785,0.19829579,341.49136,87.67586,0.10502466,347.1005,253.38655,0.16924858,263.56082,477.25992,0.26306605,346.40988,260.4799,0.31935593,410.07547,202.1265,0.27780062,295.10254,312.54037,0.23430406,545.9308,480.936,0.25839296,247.44484,444.98386,0.17637105
7,373.75922,74.93539,0.3385413,372.12967,94.8591,0.35518745,337.71692,92.59216,0.2523335,411.94247,182.94986,0.106504016,348.78174,253.60857,0.124007754,268.9651,470.0958,0.21380098,347.16223,258.43286,0.2520186,412.00824,201.66025,0.28162366,292.96393,449.8904,0.19288924,546.3495,481.27515,0.2605878,251.42014,445.91937,0.22139792
