scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,216.11697,230.16342,0.13857387,218.14513,237.28246,0.14060585,203.73436,330.22086,0.8353946,187.77443,370.36432,0.88709086,183.80322,388.84998,0.845416,171.31606,426.24753,0.84728885,174.19545,439.8246,0.9239435,227.39952,262.62515,0.4130428,258.8844,414.9027,0.93496114,195.5453,259.76093,0.8273465,138.7982,398.03226,0.88915133
1,247.14001,259.2715,0.7264862,249.63167,265.9043,0.7308464,538.9522,542.8747,0.18837501,201.05273,375.35846,0.563119,190.39189,387.48276,0.545458,173.34523,426.5626,0.88568264,178.83936,438.0164,0.9967444,236.60213,259.56976,0.25972888,221.98192,402.50888,0.65880257,198.36906,259.84335,0.9529406,146.1233,397.65732,0.8856027
2,248.21646,255.49426,0.86875343,250.97963,265.5032,0.7345192,538.05695,544.0492,0.22687231,171.10736,381.43,0.1735987,169.7443,396.46426,0.2402141,168.28389,410.17896,0.311273,172.5591,411.73038,0.42699307,311.80838,275.32516,0.30482787,180.97241,404.05197,0.32123342,200.23022,260.0754,0.91155595,149.51047,402.13354,0.4821698
3,248.50075,254.96838,0.85264635,250.24149,264.71295,0.77224946,538.10223,544.1469,0.23172021,281.13852,273.36795,0.20117463,286.39,284.5305,0.22444472,170.74612,396.1755,0.34601468,171.87796,408.24893,0.39048204,313.11633,276.64758,0.27585623,342.1608,253.7434,0.2504089,199.42041,258.2695,0.96351206,152.8845,404.6877,0.35521895
4,249.0888,253.5075,0.88531405,250.92616,264.12244,0.8333478,538.2742,544.01715,0.23572224,281.482,274.08542,0.12796056,286.86453,285.27405,0.17149541,281.11847,302.72223,0.2466629,281.3019,314.6038,0.28996924,312.3979,275.7051,0.39043844,316.06277,272.72305,0.2445458,199.7329,257.3601,0.93113726,515.91614,563.8929,0.17062259
5,248.77026,253.63527,0.9092309,251.96957,263.27637,0.8215016,532.83545,544.51013,0.251065,298.95325,260.98355,0.14909564,177.9865,354.3775,0.193453,281.11246,300.44583,0.27367136,176.03363,366.99286,0.33809167,312.99792,272.00592,0.36956173,315.91226,273.288,0.25399503,200.02638,256.5079,0.97595996,515.88666,563.46796,0.20245671
6,249.09296,252.57454,0.89740103,252.09457,262.599,0.85018814,532.8489,544.33215,0.24626991,296.52744,261.39163,0.20586006,287.02438,284.52823,0.25478008,168.97942,358.10666,0.25072822,188.79762,372.4705,0.3752586,314.0291,269.41547,0.3383255,345.04095,250.1695,0.34349087,200.47755,255.17741,0.9564947,515.56256,563.0753,0.20587683
7,248.58495,252.61102,0.8785713,251.45705,262.72412,0.8610516,533.1128,544.7471,0.26530558,296.29044,260.98264,0.18934539,286.97977,283.93585,0.23330088,273.71823,302.54312,0.23819394,181.00212,375.76846,0.31297126,313.58005,273.63458,0.37092602,342.67667,252.14017,0.33159417,200.58345,255.54094,0.96288675,515.25464,563.13965,0.239786
