scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,384.00024,218.15895,0.6011298,382.97913,229.46466,0.64488286,417.28796,249.93411,0.7456445,420.29944,284.43234,0.8333936,427.47223,301.83893,0.78159076,423.8145,340.30704,0.6725663,424.4296,359.1824,0.62845,417.67615,234.0858,0.2562129,452.66122,336.57416,0.9860008,321.37827,222.39949,0.5955266,334.64273,339.9416,0.7446429
1,389.0479,217.42226,0.74258316,387.16998,228.73528,0.8036855,417.1695,252.88206,0.9252566,421.94492,285.07028,0.87273675,428.80145,303.48914,0.79921967,426.65387,343.91025,0.67320555,426.48935,359.28595,0.62689584,425.05066,237.60027,0.45684898,453.47787,336.43674,0.8955909,319.33243,222.40286,0.51050633,339.63916,342.64523,0.9090977
2,388.96652,216.14145,0.821392,387.5399,228.23953,0.84611815,419.37985,255.84117,0.87262374,423.59494,285.97183,0.7533364,428.90036,303.2019,0.65052927,429.98682,345.7576,0.7549661,430.3299,360.32907,0.65102166,426.1907,239.44379,0.5856235,452.4512,333.51617,0.6844883,319.97073,222.50873,0.6362706,343.43893,345.289,0.8538201
3,389.11243,215.19652,0.87374085,387.6753,227.58511,0.9005776,419.50394,255.70734,0.87363875,422.82156,286.01413,0.7102878,429.04797,304.3316,0.6294574,429.38864,345.85132,0.73839945,429.9574,359.99078,0.6274951,427.22873,238.49977,0.5901389,451.4895,333.22943,0.6734604,318.70227,222.80467,0.66541106,343.61203,344.76993,0.87813884
4,389.49927,214.72327,0.8518076,387.71457,226.9876,0.8761678,419.98303,254.53561,0.8452411,422.99554,286.23282,0.6585099,429.30627,304.1319,0.57353604,428.6374,345.7415,0.6597957,429.45737,359.22833,0.5397072,427.84247,237.20016,0.56534827,450.38663,332.2226,0.62755096,318.18243,223.142,0.65449107,343.53677,344.685,0.9206308
5,389.90103,214.37231,0.8788276,387.8097,226.6044,0.90018594,418.78162,254.56804,0.86273795,422.5027,285.81982,0.62331384,427.54993,304.05283,0.48839164,427.6477,345.73257,0.6413606,429.35663,359.71136,0.5451717,428.49844,236.89561,0.57616806,448.44757,332.77182,0.5918554,317.84998,222.77724,0.6806447,343.96182,343.66837,0.9303295
6,389.1001,214.52182,0.8740612,387.29312,226.6928,0.9101725,419.61234,254.76932,0.8675046,422.0489,285.9506,0.63919616,427.18658,304.39185,0.5015043,427.13477,345.89563,0.6538089,426.1624,359.82416,0.5826082,429.8009,235.45651,0.5747496,448.0739,333.1885,0.60903126,316.8455,222.42903,0.7458772,343.70007,343.2122,0.90076345
7,389.38995,214.02223,0.88566697,387.46564,226.40642,0.9248183,419.63074,254.79855,0.8542814,421.4239,285.78415,0.61165494,427.28806,303.78424,0.4785153,427.86444,344.8016,0.72121805,428.4096,360.02026,0.6561915,427.07336,234.15166,0.6071336,447.9353,332.5881,0.61823803,316.26373,222.24245,0.75181514,343.35962,342.982,0.9160794
