scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,392.10464,223.41277,1.0,386.56183,240.5046,1.0,417.78983,300.57324,1.0,419.64786,344.58264,1.0,421.4289,361.87805,0.9370834,408.34723,405.57278,0.7645874,404.9935,424.4863,0.9286046,433.47284,230.84674,1.0,447.62482,378.6105,0.87617165,314.24063,226.94463,0.9014283,333.62027,374.89218,0.88801605
11,391.72116,223.29149,1.0,386.0183,240.60461,1.0,417.74908,300.6623,1.0,419.44864,344.00613,0.99196476,421.1558,361.47882,0.95130014,408.68994,405.92557,0.75656885,405.19305,424.9533,0.9118838,433.48218,230.82088,1.0,448.4962,378.58322,0.93702894,313.7511,226.6255,0.9117974,333.4461,374.40775,0.8927883
12,391.47485,222.67482,1.0,386.57266,240.73894,1.0,417.877,300.631,0.9903873,419.24585,343.6185,0.9908148,420.7855,361.65714,0.95382196,408.80176,405.9344,0.7801993,405.99374,424.03802,0.9330003,433.19162,231.43854,1.0,447.94366,378.8071,0.90709656,313.54294,226.39717,0.89898545,333.28864,373.1517,0.8719463
13,391.3537,222.80984,1.0,386.134,240.8528,1.0,417.35748,300.4579,0.99574184,418.973,344.3293,0.9765348,420.21628,361.94894,0.94262594,408.79462,406.00043,0.7437887,405.75046,424.95242,0.86713004,433.2436,231.21722,1.0,447.7026,379.28372,0.90871954,313.27,225.96927,0.90178216,332.57202,373.5016,0.8125678
14,390.9218,222.41498,1.0,385.86792,240.37547,1.0,416.93216,300.3849,0.99705315,418.60376,343.90833,0.9909859,419.5325,361.73724,0.93994874,408.76456,406.4233,0.7234262,406.6017,424.78748,0.85435665,433.21408,231.02573,1.0,448.34717,379.05753,0.9501275,313.28564,226.06728,0.8993185,333.1324,374.40628,0.82303977
15,390.7964,222.39363,1.0,385.70013,240.52744,1.0,417.11096,300.40103,0.99550265,418.57138,343.3069,0.9746185,419.63477,361.22217,0.9564465,409.17853,406.06366,0.7220108,406.99878,423.99323,0.8372133,432.93372,231.15588,1.0,448.87997,378.57098,0.953698,313.32248,226.04518,0.90229076,332.92792,374.34177,0.83229774
16,390.90256,222.19862,1.0,385.83957,240.30946,1.0,416.94464,300.42056,1.0,418.5843,343.28802,0.9713841,419.5893,361.3669,0.95669854,409.37976,405.9171,0.7275706,407.77365,424.69443,0.8240785,433.08527,230.79134,1.0,448.3761,378.83582,0.9403839,313.50583,226.0915,0.9103274,333.25665,374.6788,0.8452589
17,390.7402,222.26146,1.0,385.671,240.5505,1.0,417.28296,300.34927,1.0,418.4728,343.31104,0.98652583,419.50272,361.1548,0.9560274,409.69678,405.22986,0.72153276,407.9408,424.23608,0.8387805,433.00134,230.57112,1.0,449.21774,378.8955,0.974357,313.45602,226.2233,0.9088699,333.68585,374.75345,0.8334451
18,390.80322,222.34685,1.0,385.6446,240.53973,1.0,417.60187,300.93457,1.0,418.3922,343.50305,0.988222,419.44116,361.13663,0.94670784,409.8972,405.3709,0.72722733,408.33386,423.73877,0.83955896,433.07108,230.63881,1.0,449.8691,379.64005,0.98376495,313.40536,226.07957,0.8962942,333.4069,375.70197,0.8529663
19,391.11636,222.60242,1.0,385.89325,240.4492,1.0,418.61597,301.4479,0.9894369,418.42532,344.09607,0.9824883,419.38525,361.54068,0.9453421,410.0256,404.97958,0.7853805,408.2936,422.77222,0.909086,433.22253,230.77777,1.0,449.61957,379.17896,0.97109,313.5476,225.81155,0.88900167,334.82648,375.38156,0.88553506
20,391.2714,222.56013,1.0,386.1914,240.27814,1.0,418.72586,300.92075,1.0,418.37524,343.9569,0.9932933,419.39343,361.65448,0.9529219,409.9643,405.03165,0.7801301,408.7464,422.7755,0.8896317,433.19263,230.76544,1.0,450.81216,379.05087,1.0,313.35388,226.07477,0.90063417,335.14862,375.50848,0.85744673
21,391.2032,222.52715,1.0,386.2456,240.44383,1.0,418.0627,301.30325,1.0,418.43185,343.87875,0.99647033,419.35208,361.92783,0.9465335,409.79428,405.721,0.79079676,409.07376,423.45908,0.89285785,433.1067,230.83575,1.0,450.6627,379.14532,1.0,313.89664,226.47557,0.9013251,334.283,374.78946,0.8795209
22,391.42444,222.77695,1.0,386.27167,240.37036,1.0,418.28397,301.65662,1.0,418.19427,343.434,0.9796016,419.19806,361.68384,0.96634376,409.1808,405.42804,0.7843705,408.57944,422.83618,0.9158319,432.9322,230.73018,1.0,450.8657,378.8409,1.0,314.1314,227.00246,0.89407575,333.68268,374.8016,0.89670676
23,391.47064,222.79239,1.0,386.4434,240.49661,1.0,418.11255,301.61435,1.0,417.66855,343.58038,0.99701077,418.7548,362.12704,0.96484625,409.4512,405.79,0.78818655,408.83875,423.30887,0.9204825,433.2666,231.01816,1.0,450.32526,378.90955,1.0,314.41888,226.78978,0.8898669,334.7889,374.74976,0.915292
