scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,286.5423,154.41243,0.8986632,287.20868,171.89482,0.86397266,228.94264,195.04652,0.8894018,204.56651,221.17969,0.99013275,197.30405,239.42392,0.91703886,187.41893,264.99258,0.9013677,191.15356,283.41196,0.8162418,348.5571,172.21619,0.88569397,275.98914,283.2385,0.9392434,238.56944,170.38147,0.7783449,167.45111,260.8026,0.7043811
1,288.176,156.43533,0.88410676,285.76877,177.52916,0.84600633,227.29942,199.56319,0.84350073,204.74779,222.74762,1.0,197.55511,240.55515,0.9415594,187.92635,266.30768,0.9185036,192.67589,284.2893,0.8159297,344.62384,181.25899,0.69270104,275.8303,284.25742,0.9342455,225.11366,187.58295,0.5424143,167.9983,261.3767,0.74268615
2,288.0341,155.92383,0.9655049,286.66095,174.95651,0.8795298,228.78679,198.58243,0.8745133,205.12802,223.05272,1.0,196.03127,240.89299,0.94016075,188.24487,265.84427,0.90409625,192.82019,283.52524,0.78114766,348.50052,180.00418,0.7973932,274.8705,283.6884,0.93213606,229.70209,183.59686,0.5692366,168.4595,261.87756,0.72661525
3,287.82224,156.14165,0.96195966,287.0132,174.36992,0.8995855,229.3088,197.83498,0.89083487,205.21507,222.80882,1.0,196.2783,240.74399,0.9352394,188.45834,266.11395,0.91075706,192.84245,284.08475,0.792653,348.98956,179.24263,0.8352617,275.14377,283.478,0.9283561,231.2876,181.58707,0.6344064,168.70639,262.13162,0.72524196
4,287.70767,155.96677,0.94998986,285.18597,173.9358,0.8992362,229.06656,197.69923,0.9018255,205.15422,222.73485,1.0,196.03563,240.80353,0.9374105,188.1582,265.71414,0.9019642,192.56483,283.77756,0.79600513,349.19562,177.83588,0.89439154,274.6864,283.0385,0.937519,231.56989,180.54391,0.6394525,168.83734,261.92883,0.73124087
5,288.07758,155.21606,0.9511757,285.71124,172.99547,0.91222936,229.27438,197.29358,0.9119768,205.22314,222.6784,1.0,196.13171,240.89844,0.936843,188.30751,266.04346,0.8989542,192.45593,283.9764,0.7974439,349.55804,177.37958,0.89995044,274.36047,282.89093,0.941149,232.19772,179.16685,0.65251803,168.86102,262.0204,0.7209298
6,287.74335,154.84799,0.9483176,285.3167,172.69861,0.90656865,229.1978,196.90262,0.9127376,205.27937,222.41861,1.0,195.89386,240.84746,0.9300648,188.16982,265.6852,0.8850827,192.2572,283.36642,0.7870921,349.40466,175.81577,0.9503794,273.96976,282.70526,0.91401064,232.56276,177.97108,0.66094327,168.66228,261.88416,0.7196934
7,287.66202,154.56187,0.9471859,285.16443,172.53255,0.9091083,228.87822,196.64731,0.9249954,205.15826,222.34067,1.0,195.97313,240.77661,0.9285279,188.16225,266.19113,0.89677054,191.52278,283.8807,0.7991522,349.23767,174.78908,0.9449169,274.54614,283.01434,0.9084255,238.5257,171.71138,0.67234313,168.44237,262.435,0.71634036
