scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,252.3233,211.56546,1.0,252.51778,231.47021,0.9845707,202.65436,286.37598,0.9156211,179.0191,323.6279,1.0,169.13297,344.5703,1.0,165.68037,379.31616,0.78485286,169.32588,392.90527,0.7389529,317.93716,231.7109,0.72754526,258.27026,374.92352,0.86581415,203.34285,221.11707,0.8661493,144.27403,352.42532,0.80405474
1,253.43102,217.5014,1.0,253.36287,234.91748,1.0,203.22981,286.21786,0.9438266,179.797,324.38095,1.0,169.98195,345.35425,1.0,167.58974,380.61823,0.7998723,172.13367,393.82437,0.79473966,316.71454,239.69456,0.534085,259.06686,374.45325,0.8920857,206.36804,229.59853,0.8225101,144.01457,352.5332,0.8221413
2,252.852,216.83202,1.0,253.2277,234.46384,1.0,203.40135,286.3838,0.9355658,179.7301,324.1794,1.0,170.04703,345.15454,1.0,167.6601,380.45303,0.7947655,172.33582,394.11377,0.82151836,316.2877,238.14532,0.62961435,258.62448,375.2623,0.87948006,206.2757,229.50856,0.86283827,144.08022,352.86426,0.82143134
3,252.78554,216.192,1.0,253.76872,233.81616,1.0,203.38087,286.38766,0.9319555,179.64557,323.93167,1.0,169.92493,345.06183,1.0,167.95677,380.79572,0.792178,172.73006,395.22894,0.83046955,318.05594,236.92027,0.72095823,258.32053,375.16858,0.86115617,207.50075,228.24768,0.8493405,144.14172,353.06656,0.82129157
4,253.02242,215.04282,1.0,253.93484,233.3405,1.0,203.05421,286.38315,0.9317803,179.52232,323.85883,1.0,170.00027,344.98013,1.0,167.73248,381.1442,0.78783786,172.23204,395.01724,0.8113075,317.4324,236.15054,0.72886705,258.42786,374.8211,0.87489784,206.57404,226.89946,0.90143454,144.1188,353.37195,0.82209885
5,252.90033,214.6123,1.0,253.83186,232.81628,1.0,202.9957,286.2549,0.93423337,179.5237,323.8078,1.0,169.95425,344.74655,1.0,167.92694,381.14804,0.78954977,172.359,394.5569,0.8108549,317.54544,235.27493,0.8000144,258.34076,375.02158,0.8612846,205.75171,225.00055,0.9296571,144.03818,352.7922,0.8190514
6,253.6062,213.90598,1.0,254.19473,231.86986,1.0,203.07417,286.42807,0.9307443,179.39081,323.9756,1.0,169.80417,345.13608,1.0,167.2515,379.24084,0.78359747,172.51077,395.38293,0.838259,318.52625,234.5818,0.77976394,258.67783,375.22382,0.84847414,205.74841,224.38371,0.926438,143.84314,352.82333,0.81441534
7,253.55025,213.61345,1.0,254.06558,231.89731,1.0,202.92632,286.48563,0.927386,179.42523,324.086,1.0,170.00572,345.20547,1.0,167.811,380.63913,0.7824454,172.22949,393.8732,0.8007726,319.00446,233.5727,0.77664477,257.75214,375.30853,0.82735837,205.02493,222.99203,0.9360404,145.02333,353.47134,0.82578105
