scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
10,357.36224,193.77863,0.85946447,357.03094,209.36763,0.847667,399.4993,247.07962,0.7753779,408.46918,282.52036,0.76287025,414.34827,299.95746,0.6833537,432.04843,336.86194,0.5495998,422.83694,352.18283,0.45863846,404.51727,199.99867,0.89459985,456.76422,322.01895,0.79648674,282.92294,217.83067,0.8772974,338.83185,351.139,0.94726187
11,357.64804,193.99658,0.85999465,357.1746,209.58847,0.8511817,398.39133,251.71124,0.7846708,408.71805,282.6065,0.76489365,416.49255,299.44556,0.691846,432.94208,336.91864,0.5846517,429.0504,348.19107,0.44979525,404.70187,199.68045,0.87377155,456.83383,321.59854,0.79549444,283.36542,218.1258,0.8850073,339.06436,352.03836,0.94809735
12,358.1172,193.4776,0.8679762,357.77167,209.25673,0.85188544,398.84042,252.26038,0.8071004,409.55188,283.08188,0.7642939,416.49567,299.7877,0.7293622,433.65106,336.95157,0.60342973,429.8268,349.07608,0.4486098,405.0358,201.01666,0.85609496,456.14276,322.39307,0.7501155,283.43204,217.90002,0.8918023,339.35712,351.74872,0.8611731
13,358.12396,193.68472,0.86340445,357.90915,209.51016,0.84531677,398.79907,252.13264,0.84209675,409.78036,283.09372,0.77897584,415.15173,300.44568,0.7314749,429.80624,336.25534,0.5649043,423.1087,353.0493,0.4871218,405.2206,200.83855,0.86334836,456.20663,321.44934,0.72925866,283.88925,217.87874,0.8810273,341.35153,352.96567,0.89201164
14,358.23373,193.88402,0.8624172,358.1729,209.5506,0.85103047,398.7651,252.30144,0.82247674,410.0935,283.5297,0.7787644,415.76428,300.98956,0.7490576,428.08905,336.9786,0.5356697,422.17374,353.21097,0.57053804,405.57574,200.72585,0.8648847,456.4209,322.8138,0.7239354,284.00107,218.1225,0.8839129,340.16818,351.7594,0.91706437
15,358.387,193.77603,0.8540366,358.28943,209.53526,0.8472037,400.9977,247.38751,0.83232784,411.0203,282.8312,0.7811343,416.52463,300.54654,0.7600925,433.34802,337.24777,0.5637437,423.15378,352.96002,0.49088693,405.8277,200.71571,0.8653306,456.4405,322.2019,0.73731226,284.2435,218.25896,0.8819881,341.91476,352.22583,0.89983964
16,358.5082,193.49193,0.8590468,358.3602,209.27441,0.8545421,399.80597,252.31125,0.83480525,411.3227,282.75204,0.7799135,416.60046,300.52032,0.775144,433.63828,337.37152,0.57649213,423.65204,353.08167,0.45861754,405.76166,200.75261,0.8674251,456.38712,321.9476,0.7196968,283.97562,218.33409,0.9049425,341.77957,351.85,0.90832245
17,358.43295,193.37198,0.85760915,358.53687,209.04405,0.8590549,399.99536,252.45943,0.8542509,409.76865,282.03525,0.771017,415.92413,299.59943,0.7611332,433.66953,337.11642,0.56356233,423.6365,352.16452,0.4471606,405.83575,200.41408,0.85724276,456.36966,321.16125,0.7125108,284.42462,218.25691,0.8937281,341.43866,351.47592,0.92599016
18,358.50912,193.62206,0.86248994,358.50955,209.40533,0.8504919,400.14206,251.99251,0.8433714,411.51724,282.3708,0.77304703,416.2967,299.68597,0.77144563,429.89462,336.60065,0.58892095,423.6337,352.98376,0.45901012,405.84387,200.99174,0.85749954,456.73846,322.58182,0.74889904,284.75726,218.06917,0.88689864,341.37662,351.73486,0.91654295
19,358.75278,193.96373,0.862566,358.66556,209.97212,0.8430139,400.0172,251.7327,0.865602,410.75415,281.84232,0.76121575,416.90384,299.37833,0.7769694,434.34778,337.20477,0.5903163,437.72562,347.77545,0.43005478,405.94403,200.72482,0.86269397,457.09512,322.16092,0.74955904,284.62814,218.13628,0.868407,341.06454,352.54556,0.88375115
