scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,370.00537,210.45184,0.8415525,368.969,224.2307,0.83442444,407.1677,296.19086,1.0,415.39148,334.29285,0.7411235,421.74265,350.7896,0.6272448,422.22083,390.0898,0.64865094,415.1362,404.6799,0.48839533,414.29956,203.84314,0.95288485,459.23007,348.70834,0.938302,296.6103,235.66214,0.8679527,345.71832,376.9857,0.76091385
1,369.9142,210.35507,0.8423337,368.77042,224.0902,0.83597726,407.3708,295.82114,1.0,416.0417,333.14194,0.7186392,422.8465,349.82483,0.5653918,424.39493,390.61166,0.636527,417.22946,404.71878,0.5160969,414.40634,203.76001,0.9563142,461.04242,349.18552,0.9487028,296.12714,236.02301,0.8660027,344.41986,375.58203,0.80053884
2,370.25586,210.45348,0.7983793,370.0153,225.1103,0.816489,409.67746,293.95767,1.0,419.2525,334.45697,0.8473994,425.54874,350.7838,0.62648517,424.97632,388.84732,0.7466364,417.68198,403.7339,0.58703667,414.72913,203.42484,0.9429678,461.12256,349.56726,0.9712634,297.67496,235.28862,0.83152825,348.15854,376.3639,0.8605799
3,370.3855,210.19254,0.7946644,370.1663,224.88536,0.81255335,410.09274,294.24368,1.0,418.98352,334.51285,0.888416,424.98575,350.71616,0.6690582,423.82532,389.1494,0.74015886,417.308,404.58588,0.61443007,415.182,203.11894,0.9391278,461.142,349.00372,0.97005814,297.7777,234.98474,0.8176033,346.57043,375.1527,0.8664079
4,370.54263,210.2309,0.79485434,369.63184,225.28656,0.7925651,410.60602,293.8706,1.0,419.7368,334.32086,0.8417715,425.58932,350.49408,0.6230884,423.59247,389.02243,0.7950265,418.58902,404.4684,0.74036247,414.8233,203.8419,0.9358043,461.78748,349.4144,0.97891617,298.83423,234.59102,0.8002243,346.1583,375.1193,0.81442124
5,370.3245,210.49118,0.7830513,370.1614,224.91985,0.7982592,410.80453,293.52206,1.0,419.6915,334.19476,0.78926253,425.7092,350.06772,0.57519823,424.03406,388.67056,0.77830607,418.9144,404.11435,0.6891276,414.5979,203.8848,0.93335193,462.29706,349.34128,0.9892442,298.78494,234.9161,0.8008799,347.3734,375.8213,0.8023131
6,370.53055,210.145,0.77896756,370.6642,224.64076,0.8032265,411.06393,293.30875,1.0,420.00397,334.1733,0.8118255,425.62524,350.02777,0.5809002,425.68027,388.9166,0.8154021,421.21872,403.6151,0.72665125,414.5162,203.51836,0.94573015,462.75058,348.9929,0.995056,298.02094,234.90701,0.8227484,347.321,375.42746,0.80982673
7,370.16296,210.2128,0.7982738,370.31937,224.95546,0.8140138,411.06003,293.7324,0.9858074,419.85913,334.2526,0.8651028,425.46695,350.34448,0.63948894,425.51254,388.4806,0.81588924,421.0223,402.92175,0.69343376,414.50592,203.40451,0.93843305,462.45386,348.65186,0.98965037,298.47467,235.33041,0.80680823,344.45172,374.98993,0.78414863
