scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,385.80475,223.80544,0.8313709,381.84354,237.72862,0.7935746,415.91806,306.85654,0.9750157,420.41077,349.08188,0.85220605,425.08658,365.6912,0.648193,414.66882,420.5579,0.67495537,409.53494,435.86874,0.8199575,431.12054,225.98167,0.9867587,458.00974,376.71832,0.9654381,306.7296,238.39381,0.897214,345.72623,391.15936,0.79705673
1,384.51346,229.16968,0.9083708,381.46512,242.23703,0.9461568,412.9034,313.12192,0.96248484,416.17908,354.29013,0.83064765,420.87598,370.18585,0.7365148,418.26764,413.6276,0.820089,415.43497,429.23343,0.8463807,431.19305,228.60837,0.934847,460.792,378.44638,0.94227356,305.21307,240.19939,0.94241893,342.15228,391.43964,0.8468384
2,384.1996,228.92973,0.9213286,381.0626,242.05661,0.95546806,413.9298,313.34613,0.94487745,414.0952,353.08102,0.6948482,419.40152,369.54184,0.55291396,419.018,412.3936,0.7852671,416.67615,427.90918,0.8261457,430.759,228.45773,0.9288084,460.34805,378.7059,0.9371664,305.1005,239.82445,0.9459755,341.70102,391.31326,0.82284063
3,383.82434,228.69882,0.9224933,380.71497,241.6905,0.9408277,413.7061,312.7258,0.96535534,413.8692,352.7579,0.7306052,418.1358,369.59668,0.61560416,417.633,412.22888,0.792411,415.69876,427.24277,0.7996858,430.20636,227.73015,0.92647684,460.02798,378.678,0.9631798,304.91513,239.41463,0.93165183,341.03915,391.8934,0.83041143
4,383.7651,228.5593,0.9234821,380.4986,241.77686,0.9477749,413.56766,313.42673,0.9586416,412.71658,353.11902,0.78958625,417.74338,370.70093,0.63925934,418.42435,412.43945,0.74566275,417.42224,427.4497,0.76218927,430.5443,227.3089,0.94247735,459.84433,378.45352,0.95742613,304.68637,239.35445,0.930152,340.81998,391.79733,0.83056504
5,383.7163,228.43756,0.9203498,380.39896,241.38068,0.9230613,411.6081,313.54645,0.9973563,410.78784,352.61038,0.7378881,416.4595,370.26468,0.6006555,417.5171,411.85254,0.75118756,417.40137,426.86752,0.7275418,430.69113,227.51363,0.9418922,459.44452,378.6911,0.9764931,305.11322,239.19118,0.9264442,339.58133,391.55878,0.8224677
6,383.763,228.26097,0.9220238,380.39545,241.21182,0.9157278,412.60684,313.7332,1.0,410.62567,353.3685,0.8226433,416.53345,370.85736,0.71623224,418.417,410.89423,0.7029359,418.40005,425.79086,0.6940565,430.34164,227.26918,0.94110334,459.81448,377.46097,0.9676146,304.57855,239.13637,0.9321768,339.55557,391.4646,0.8588919
7,383.65118,228.26883,0.93181276,380.11224,241.31087,0.9263626,411.88336,313.1237,1.0,409.50357,352.4979,0.7402104,414.83365,370.0093,0.6235576,414.20032,412.22675,0.73354125,410.78262,427.81204,0.71648985,430.44257,227.28021,0.9463206,459.5104,376.78723,0.9410917,304.48956,238.97528,0.9344962,339.2406,391.5085,0.86500895
