scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,372.8988,90.88026,0.17779279,401.72635,92.78008,0.15381162,366.45938,119.10906,0.2081799,372.80246,89.64245,0.16493885,482.63324,101.01502,0.19843675,257.9103,461.91428,0.1806903,385.28665,136.52892,0.18344973,585.3451,472.95764,0.18781571,337.41235,455.6884,0.3159672,353.96777,104.25602,0.28320405,247.83063,444.8375,0.28877413
1,373.49753,86.50262,0.20931193,400.79156,92.85088,0.19222122,369.05173,106.540695,0.22298717,372.81567,90.11342,0.15265252,481.93018,100.81625,0.18004596,257.61765,461.3653,0.15709157,369.07867,128.47205,0.17859174,585.19086,472.608,0.19885015,343.1007,452.85114,0.322668,350.9343,103.77319,0.27117702,248.37534,444.9986,0.2555785
2,461.43063,96.41095,0.16777986,425.30634,94.65215,0.14018263,384.30658,117.9301,0.30874345,484.24673,82.297745,0.23864691,477.3356,98.54618,0.3004996,483.4906,122.08198,0.28056794,312.85382,176.63037,0.27808386,577.1401,475.0586,0.22280207,357.01123,537.6135,0.5658758,362.1078,101.85934,0.24010481,235.3198,448.40366,0.42058742
3,477.5434,90.09197,0.15451133,417.77332,94.41126,0.17915574,370.57922,119.55564,0.25872555,484.1389,82.314705,0.23282975,477.30432,98.32894,0.27733877,483.64728,121.85521,0.24698234,313.26453,176.17847,0.23205346,574.938,476.1818,0.24415903,357.48447,539.0972,0.52824867,360.25763,103.55061,0.26658046,235.94127,447.8467,0.44044682
4,403.4226,90.006836,0.20238572,402.8201,95.857956,0.22273745,383.9186,120.20848,0.31270066,484.72003,82.63864,0.22230509,478.677,98.41443,0.28710294,483.93805,122.458595,0.26313022,369.9071,125.05126,0.219711,574.4869,476.09268,0.25772765,357.52606,539.56525,0.4395324,358.2645,105.36863,0.2889065,234.68082,448.68277,0.45559016
5,403.5613,90.251816,0.21301608,402.84406,96.437164,0.25418305,385.28378,116.92911,0.36021736,484.52344,82.17904,0.22000164,478.42435,97.83248,0.2917006,483.84113,121.888824,0.26156178,355.35254,125.40898,0.223016,574.9902,475.89255,0.2616128,363.74115,540.41614,0.3662788,357.39413,103.857025,0.26369685,236.27615,448.62128,0.39429703
6,404.93152,87.82236,0.20682175,404.1134,95.12881,0.2659523,370.2663,111.95233,0.35124165,484.99197,82.27988,0.23540875,478.6868,98.0021,0.31398472,484.0924,121.6757,0.27979383,357.93777,121.947334,0.2593349,577.81995,473.98288,0.24150123,349.87823,454.92914,0.2591942,357.52582,99.46906,0.2754093,241.06831,444.92996,0.3598972
7,403.7942,88.360565,0.22805193,402.91153,96.265144,0.27189,361.40997,103.22266,0.1941225,484.87302,82.08362,0.26037338,478.15073,97.95669,0.3251672,483.71326,121.61078,0.30654657,354.89035,119.304146,0.25490183,582.46967,473.6565,0.20896967,340.42023,461.95355,0.28203955,362.6676,92.43543,0.24310617,241.40005,445.20236,0.3440223
