scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,375.36444,125.357414,0.23639537,339.58987,316.02737,0.20393845,423.4849,154.57812,0.503881,432.44656,186.63817,0.6716151,437.80954,212.55257,0.6970063,437.75436,235.65176,0.2902687,428.21353,247.0719,0.36259317,404.29416,125.27448,0.38578883,449.17816,234.8145,0.31438562,357.37375,148.02591,0.22859971,342.94867,328.18042,0.21028136
1,376.75964,126.18754,0.23068735,389.07037,129.7963,0.21549623,424.25095,154.95094,0.51544994,433.2121,187.2926,0.6712273,438.34268,212.75401,0.63898396,438.06638,235.79312,0.30092156,427.68033,249.44571,0.37860206,405.07098,125.14406,0.3846956,449.52908,235.65652,0.30114418,357.84848,147.774,0.23886193,343.4218,328.09662,0.1908923
2,395.8618,120.1352,0.25999358,400.0012,128.38045,0.24619988,427.09253,155.03902,0.39453158,436.62448,185.81099,0.61385155,443.81995,211.73828,0.6623499,436.89005,235.95702,0.3726908,429.6567,248.08505,0.37845725,412.64917,126.68736,0.43575248,451.68634,235.19055,0.41231322,364.48828,138.18321,0.25198442,410.81824,515.1935,0.17348136
3,396.18686,120.001076,0.285949,400.50854,128.0403,0.2381584,426.4077,152.90633,0.39957476,436.6586,184.50813,0.61294484,443.49197,210.45912,0.6355204,436.56918,236.23167,0.33523804,428.7091,247.685,0.35521266,412.48755,126.49518,0.40633193,451.45242,235.07933,0.42696548,365.05295,144.49979,0.30680233,408.68005,327.6892,0.1584113
4,395.87274,120.28029,0.3000087,400.50446,128.4398,0.26397902,427.3756,154.1314,0.4230955,434.92914,184.94353,0.676427,442.8268,206.51067,0.6674636,437.24124,236.02936,0.33406535,429.80148,247.38414,0.32296795,412.94598,126.40045,0.40640292,450.7806,233.8343,0.43257558,365.1353,144.31157,0.33468834,418.39758,518.50635,0.15996902
5,396.34943,120.95651,0.27567178,401.44748,128.87099,0.23040394,426.20352,153.11299,0.3710631,434.34125,178.08713,0.65804523,442.3601,204.41809,0.6843029,436.26187,229.37582,0.2577262,430.99545,241.98369,0.30672377,412.72833,126.4664,0.3983649,448.75095,230.26463,0.36230764,364.9749,144.10547,0.3545088,437.77026,228.40115,0.15976015
6,396.55798,120.5932,0.27192536,401.73087,128.9343,0.22941655,419.69135,142.32974,0.3770104,432.22528,173.6522,0.65106285,442.36508,199.90453,0.6736211,440.17062,226.05453,0.3467008,428.88358,238.09445,0.29195997,413.36194,126.66868,0.40502816,451.27075,223.92105,0.43210837,365.4011,144.73233,0.27321395,358.83286,157.44276,0.21184538
7,396.42654,119.89493,0.26692602,401.47052,128.83784,0.23960115,420.7816,140.37791,0.41750297,432.8832,173.34476,0.6856451,442.31625,197.60963,0.6978393,438.91284,222.72746,0.43510506,434.37756,234.05075,0.3958909,413.84082,126.08513,0.4490628,452.07578,221.91107,0.46202224,95.31041,544.2687,0.20838895,359.3195,158.34503,0.27037036
