scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,398.92572,207.23122,0.9049568,395.4163,220.19164,0.8944587,442.4118,283.20792,1.0,451.53262,323.20416,0.9525474,454.77374,339.52158,0.85283625,449.92618,378.2533,0.83913016,448.33243,394.25284,0.70146525,435.3785,206.56313,1.0,476.0095,352.02725,0.98161083,326.02985,221.0064,0.9022148,367.04202,356.1885,0.7383691
1,398.53897,205.69176,0.9194473,394.83542,219.69249,0.88482964,441.68713,283.47537,1.0,450.2077,323.66095,0.95137095,453.4571,339.32474,0.8391062,448.66544,377.46585,0.900933,447.2102,394.51126,0.69847155,435.05118,206.09137,1.0,475.46423,351.8932,0.9883437,325.43643,220.55716,0.90107894,365.95178,355.97775,0.77072215
2,398.15305,207.13586,0.9277463,394.70917,220.2927,0.9015732,441.38123,283.68634,1.0,450.08688,323.8587,0.9263375,453.17264,339.4064,0.82174766,448.20956,378.04657,0.89832467,447.09787,394.8946,0.69073343,434.52484,206.37845,1.0,475.46027,352.4881,1.0,325.31763,221.31386,0.904951,366.37354,356.14212,0.7554492
3,397.92172,207.27332,0.92333525,395.60446,220.61076,0.8963787,441.44217,283.6258,1.0,449.9457,323.84692,0.91111344,453.00882,339.51233,0.80120015,447.9859,379.2313,0.94199365,444.86267,394.40115,0.72416544,434.53152,206.14905,1.0,475.33154,353.10385,1.0,325.59552,221.42741,0.89528525,366.56006,355.67798,0.7619696
4,397.7349,207.23558,0.92678034,395.27383,220.60793,0.9083536,441.45865,283.94818,1.0,449.8506,324.33096,0.9678437,452.9862,339.95633,0.86456174,448.00565,379.2631,0.9224561,445.02893,394.58215,0.6858813,434.64822,206.14748,1.0,475.20517,353.1762,0.9823548,325.48972,221.28085,0.9048928,366.68436,357.18402,0.7606314
5,397.91376,207.1678,0.9185143,395.28577,220.43059,0.88479114,441.2102,283.83026,1.0,449.87747,324.3268,0.9826713,453.01944,340.0931,0.881958,447.95358,378.6257,0.8948437,447.05923,395.51505,0.6582681,434.87692,206.14995,1.0,475.60873,352.9958,0.9811498,325.17627,221.17143,0.89438486,366.40063,355.8782,0.7544465
6,397.82086,207.15376,0.9192485,395.23383,220.66928,0.8905812,441.2744,284.02728,1.0,449.6439,324.53665,0.99336255,452.67194,340.37326,0.9082827,447.79346,379.60867,0.9048945,445.3896,395.055,0.6408984,434.85165,206.5585,1.0,475.67465,353.17163,0.9840824,324.97906,221.21312,0.8968203,366.5313,355.697,0.7525758
7,397.7274,207.27193,0.92484856,395.3157,220.5085,0.8884304,441.38196,283.8322,1.0,449.7632,324.34348,0.9697965,453.15128,340.53967,0.89430153,447.78464,379.84158,0.92146736,445.17084,395.09137,0.671579,434.84036,206.65372,1.0,476.03973,353.21506,0.96843374,324.83804,221.34193,0.89883703,366.43427,356.4846,0.7832566
