scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,290.12045,185.17262,0.49471268,291.77847,196.73157,0.3385735,155.06062,265.12698,0.1498923,199.38956,156.51149,0.18412168,154.63011,286.66763,0.19207145,189.35962,160.48848,0.26495984,186.516,178.33205,0.49388817,339.0253,204.38847,0.8959411,337.16635,213.23112,0.11745774,285.1761,201.90901,0.45940146,144.84023,288.00125,0.2792534
1,275.34265,184.23883,0.87175995,271.29663,197.09583,0.6356846,178.47252,166.74583,0.21583778,181.84276,172.4477,0.17352499,170.55382,186.26903,0.19698788,170.85204,175.96921,0.28793257,168.2624,195.36887,0.5166386,339.55426,207.0054,0.83940226,331.35565,248.86954,0.17626369,286.07672,197.76654,0.2961634,146.26369,172.85587,0.17118888
2,274.32388,183.46626,0.9976963,269.93903,196.9357,0.77311903,180.22763,168.11913,0.18108349,173.65184,185.27187,0.22973268,170.62358,193.54294,0.19759211,161.15353,189.69963,0.31649995,161.31418,204.73195,0.5595112,339.68533,207.4628,0.8061424,339.98306,200.99469,0.122051686,543.34656,482.63892,0.23246808,146.28387,181.2526,0.2680557
3,274.6508,183.15683,1.0,270.02386,196.1237,0.7913793,182.85945,165.95164,0.1504946,180.19266,185.18387,0.3056839,171.1963,200.24875,0.25253892,160.68419,192.16913,0.27993807,161.28575,206.79431,0.5282698,339.59766,207.5373,0.8187041,340.04132,201.15579,0.12314366,540.82635,484.24185,0.228805,143.51286,185.87465,0.31272823
4,275.3416,182.63104,1.0,270.71558,194.92438,0.7986109,182.7893,167.05322,0.17220162,174.69882,186.8243,0.3057576,170.59506,200.08858,0.2908474,160.52411,193.32196,0.32597402,161.39908,207.51466,0.5562474,338.82095,206.86124,0.84052855,339.3241,201.32321,0.12175534,543.7099,482.53156,0.2216405,142.53778,186.62558,0.36570874
5,275.36972,182.46999,1.0,270.96918,194.21034,0.82246846,168.03918,178.0458,0.19977812,173.58765,187.45782,0.3178224,169.03583,200.96239,0.2924078,170.25275,187.75488,0.3451524,160.51526,209.10938,0.61101705,338.6826,206.11482,0.8093873,339.5715,201.18283,0.12094069,543.2015,482.51093,0.23169301,141.77364,187.67426,0.41763568
6,275.17905,182.18384,1.0,271.2021,193.37442,0.8112815,168.09819,178.14435,0.20479341,174.10515,186.41913,0.3632907,168.79422,200.43034,0.3457674,159.01082,196.43677,0.3847457,160.39091,210.51486,0.6149676,338.10703,204.60281,0.8018635,339.08475,200.88632,0.12644303,542.96735,482.7785,0.2378,140.45596,189.38129,0.4291785
7,275.6108,182.35178,1.0,271.9662,193.30331,0.8246255,169.11684,178.72147,0.19702823,172.27507,191.32738,0.34411448,169.48018,201.23438,0.3352462,171.91579,190.64813,0.35420907,161.1061,211.61424,0.5735276,338.77863,204.22629,0.8369267,339.57697,200.60255,0.13615462,543.2063,482.64523,0.2398824,142.5129,190.58954,0.3707502
