scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,385.1702,209.14159,0.6716664,383.16702,224.18323,0.5628698,393.56,260.69904,0.2784786,388.56656,289.3263,0.33901134,389.3541,302.53275,0.426429,380.37155,344.75458,0.75615877,379.0932,360.80322,0.7519638,432.05624,241.4125,0.42415717,406.0788,336.2178,0.5348703,310.77914,214.10764,0.78507704,306.6474,333.5894,0.71784717
1,385.92035,209.4068,0.6410193,381.63,223.61063,0.45478097,425.82892,245.28935,0.40945765,427.1063,268.91873,0.3814128,467.14914,192.7697,0.24104889,386.6275,346.37982,0.5442729,388.061,361.26517,0.36709374,428.66354,240.6359,0.26954493,407.2013,330.54843,0.39307627,310.05298,214.62599,0.8097587,308.8857,331.78165,0.6152207
2,382.25964,209.49644,0.64469516,380.8933,224.39612,0.5231875,422.617,248.21165,0.34755367,428.0802,274.90225,0.3430812,466.64175,192.98085,0.2339316,384.70605,343.9736,0.58346933,383.37543,360.67096,0.43593732,428.04605,242.56856,0.21646139,407.63116,330.78363,0.3702635,310.0684,214.6449,0.82368445,309.3416,331.3981,0.5982629
3,386.6786,211.90784,0.665116,382.21216,225.53264,0.5367371,421.14792,248.14748,0.35921273,465.03198,185.52556,0.3156053,471.47736,201.82962,0.3022443,384.53418,343.25204,0.5712712,387.47913,360.28186,0.435656,426.57443,243.61766,0.1668741,406.90338,328.93237,0.39604503,309.72415,214.3964,0.8427532,309.22333,331.11816,0.60473853
4,384.1177,212.29729,0.6991915,381.803,227.49869,0.61030525,250.7808,121.52714,0.3116669,463.68094,184.68634,0.26818463,470.41537,200.2587,0.2558878,383.65652,342.4506,0.58114713,387.53842,360.688,0.444206,426.61658,247.02892,0.16814934,406.56207,328.50912,0.41259444,309.20422,214.22049,0.8700684,309.655,330.7169,0.60072565
5,384.51318,211.89182,0.681701,382.4028,227.02002,0.6164628,250.49504,121.72995,0.31309143,363.3386,276.7714,0.28016353,471.24054,202.17413,0.23606677,382.6273,342.67233,0.528248,382.7743,358.5409,0.37530044,426.67072,249.5117,0.15220462,405.15378,328.35864,0.389678,308.47272,213.68196,0.91263634,310.58728,331.7796,0.62909317
6,384.5746,211.77167,0.6872848,382.57205,227.04399,0.6413059,250.41577,122.15055,0.32079703,362.63086,276.27484,0.29783458,470.9689,201.85963,0.22378522,381.71002,343.79166,0.49289635,382.5604,360.5206,0.31941247,436.66257,225.80925,0.13993111,405.06787,328.18845,0.33396053,308.4281,213.38702,0.88710696,312.01733,331.97314,0.6331623
7,383.88065,212.10873,0.66542673,382.16708,226.79347,0.6076182,250.52112,122.118034,0.32476532,361.91165,275.94235,0.28672728,470.782,202.52095,0.18054849,381.78445,345.5539,0.5015296,382.44064,359.97018,0.3221981,428.7148,247.26822,0.20884395,403.46854,329.4382,0.27877593,308.15375,213.42786,0.8714889,312.328,331.79526,0.63891506
