scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,267.9482,200.99908,1.0,267.17313,218.64459,1.0,218.82405,266.6906,0.85007674,188.20767,302.07983,0.9569172,177.80417,322.43085,1.0,170.75606,360.4122,0.8734664,175.24837,380.89548,1.0,333.77972,223.04541,0.8514024,254.37393,360.6767,0.77640337,218.09854,201.6324,0.88187397,149.34555,336.55106,0.8356004
1,271.51328,197.78717,1.0,269.2438,217.12518,1.0,222.22655,260.8059,0.88512266,193.20782,294.55087,1.0,183.18256,313.83994,1.0,173.07434,356.1775,0.9473991,179.73378,375.22675,1.0,335.99033,219.64407,0.87443256,257.3031,354.68335,0.71541274,218.2861,200.11957,0.8986472,150.09534,327.5059,0.8272459
2,272.93915,199.59538,1.0,270.71494,218.93625,1.0,222.5779,265.4821,0.90861905,191.91269,294.41095,1.0,182.56549,316.32605,1.0,171.16818,357.04578,0.9347993,178.0541,375.6034,0.9691346,337.428,223.09721,0.847708,255.9081,355.91763,0.7284494,219.7404,202.68156,0.89359903,151.12932,328.47687,0.7902056
3,269.38144,201.66121,1.0,270.99408,218.9594,1.0,222.30426,265.62238,0.89637077,191.78261,295.01782,1.0,182.42905,316.06003,1.0,170.55095,358.6922,0.90956324,173.93277,374.70084,0.9698222,338.01328,223.2163,0.8588948,255.91704,357.44058,0.70567006,220.54562,201.83952,0.8806854,151.07048,330.0547,0.7814892
4,271.27866,201.40015,1.0,272.8105,218.08359,1.0,223.13504,265.83862,0.9091564,191.42471,295.5103,1.0,181.92479,317.08942,1.0,170.6501,359.17105,0.91773766,173.96944,374.6619,0.9718442,338.70572,223.6578,0.91375345,255.23488,359.10135,0.71365446,221.79858,200.65237,0.8527653,150.01836,330.423,0.7670915
5,273.33154,201.47818,1.0,273.2295,216.96497,1.0,224.08487,265.95624,0.9262172,191.67671,295.64746,1.0,182.30571,317.32474,1.0,170.69434,358.1558,0.9184476,177.39296,376.19656,0.98237216,340.05624,224.17876,0.9361058,255.65129,360.319,0.6875427,220.44614,200.5455,0.8783606,150.33244,329.38998,0.77246565
6,274.5679,201.4746,1.0,275.54092,217.18735,1.0,224.83878,265.09744,0.90112597,192.51959,295.5935,1.0,183.13017,317.8695,1.0,171.35684,358.00684,0.9406637,174.31967,374.2364,1.0,341.1668,224.37079,0.91191435,255.58466,360.30338,0.6772841,221.47337,200.81744,0.92268,150.77614,327.84338,0.8561381
7,274.0714,200.3382,1.0,275.29358,216.8101,1.0,224.4418,264.31784,0.89933884,192.85994,295.37842,1.0,183.49902,317.51315,1.0,171.8357,357.25598,0.9591875,178.46991,375.8216,0.997305,340.17566,223.82553,0.9070894,255.67317,361.80508,0.6603221,220.68326,200.22699,0.88708955,150.94328,327.33664,0.889802
