scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,364.4846,186.4317,0.8929759,363.99908,203.48663,1.0,393.257,249.30667,0.71428347,393.84225,285.62714,0.82728565,394.31512,305.31635,0.77306575,390.10867,356.38733,0.5550152,387.2925,374.0289,0.7098832,410.9911,203.2733,0.84591186,431.90314,328.0545,0.9096562,292.65823,189.58163,0.9303956,317.83984,325.96915,0.64637744
1,365.9492,181.55028,0.9285448,362.35284,199.67282,1.0,393.53394,244.92744,0.82130677,396.06003,279.5655,0.9517816,395.40378,298.3432,0.79940087,390.17245,352.63577,0.49141574,387.17905,369.2037,0.68326145,407.6837,202.19037,0.91468704,430.1029,321.554,0.85495174,291.1122,187.91214,0.9441894,317.3812,320.68903,0.65542716
2,364.2259,184.92928,0.91612095,364.62985,202.42068,1.0,394.53818,248.06099,0.8366956,396.0818,280.37115,0.97082293,395.82138,298.79666,0.7723402,390.35513,352.1202,0.48470482,384.38306,369.44888,0.67920077,409.00787,203.67776,0.8775014,431.0573,322.9405,0.80345094,292.6633,189.07346,0.9292872,316.9472,321.40378,0.61718184
3,365.21594,184.78221,0.922575,364.8349,202.6518,1.0,394.57516,248.35973,0.82761693,395.8225,280.9989,0.94985914,395.29407,300.0268,0.76324075,386.44797,351.25348,0.53437823,383.1806,368.40482,0.698633,409.86365,204.26312,0.85422605,428.3595,324.09262,0.6852716,293.8258,188.44728,0.88845956,316.12357,320.29938,0.6298273
4,366.5876,184.28972,0.9287387,366.00043,202.01434,1.0,395.09558,248.27068,0.8303752,394.4596,280.8277,0.892622,394.67706,300.9724,0.7629796,386.89017,356.77524,0.54823494,381.0108,368.91437,0.67644054,411.5736,204.4838,0.80633366,427.8059,326.74634,0.6806499,295.68253,190.49867,0.8474843,316.20874,319.69107,0.6042308
5,369.4676,184.46666,0.9432091,367.49948,201.97182,1.0,395.5022,248.22643,0.820412,394.92584,281.3221,0.8606362,394.5196,301.37613,0.739049,385.47678,356.4412,0.55092293,379.5119,368.35995,0.67857057,412.71225,204.05606,0.7629774,427.33652,328.17062,0.6330949,297.69724,189.25304,0.81248593,314.9729,318.9208,0.6009692
6,369.83032,183.81902,0.9511128,367.82123,201.39081,1.0,396.03732,247.99684,0.8249754,396.72903,281.06662,0.9034034,395.1407,300.23816,0.7393696,384.2624,356.85114,0.55101424,378.21954,368.53488,0.65187466,413.39517,203.77974,0.74851125,427.1756,327.68652,0.5950946,298.26794,188.56967,0.79704726,315.84814,316.3683,0.5806786
7,368.39926,183.20576,0.9555439,367.30063,201.08191,1.0,396.03653,247.6896,0.8327814,396.48163,280.73578,0.94116503,395.66638,299.02832,0.7417963,384.74112,349.8771,0.5344507,380.72955,366.6969,0.6465779,412.8283,203.55705,0.77800685,427.07877,319.63193,0.6331089,297.89423,188.30951,0.7892154,315.54388,317.76968,0.5950005
