scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,302.44897,149.97673,0.9384377,302.57538,164.5125,0.9108972,247.3752,184.46065,0.8417754,215.24088,206.3804,0.8971345,207.05037,223.46677,0.80207896,192.8166,257.04767,1.0,193.83449,277.80466,0.97111636,362.78235,174.61317,0.8961298,270.9229,271.65417,0.8118734,251.30356,158.46735,0.74622226,174.28442,244.50482,0.671072
1,305.26987,148.62402,0.9807091,303.21942,163.73053,0.9415579,249.52467,178.86073,0.7864203,218.88043,200.23007,0.9193005,209.51405,220.3788,0.97808623,199.61113,251.61526,0.87369204,196.31578,270.83173,0.91774124,366.54535,173.10265,0.8693447,276.52533,267.8246,0.8527887,254.46187,157.64992,0.7180823,177.895,240.53067,0.672131
2,306.52792,150.536,0.9992889,304.58755,165.43889,0.93838453,249.29025,181.33707,0.8099973,221.78914,200.4289,0.8791065,210.0608,220.31352,0.92096657,197.7397,252.1768,0.93545496,194.93799,269.38043,0.9036645,366.90637,174.84088,0.90869445,275.76978,270.83612,0.8553328,255.04918,158.99123,0.7702633,175.95648,239.66504,0.69302505
3,307.44742,150.01994,0.99163157,305.2118,164.63817,0.92920667,249.60443,181.12376,0.7961539,221.9229,200.7456,0.8915961,209.5804,221.14212,0.9119906,196.28769,252.16582,0.919303,194.03943,269.85046,0.91044235,365.82126,174.79993,0.8940595,274.56192,272.07443,0.8421948,255.8578,158.34468,0.7897142,176.23,239.91635,0.7067126
4,308.20148,149.26003,0.93573874,305.47134,163.45717,0.8802324,250.16748,181.52261,0.8019587,221.71175,201.68726,0.8865569,209.18333,221.78696,0.91994363,196.47295,252.90587,0.90659094,194.49986,271.338,0.9170315,366.42874,175.0603,0.9012564,273.60416,273.59308,0.8423239,256.96768,157.84528,0.7682101,176.76532,239.99847,0.724663
5,309.9918,149.15529,0.9321072,307.52808,163.03278,0.87942815,253.6608,179.74422,0.8089429,221.66158,202.20639,0.8678352,209.27864,222.26794,0.9048424,197.02905,254.35147,0.91089374,194.45012,272.7284,0.91706157,367.38022,175.50456,0.93101233,273.93192,275.08844,0.83056396,257.98694,157.9056,0.7833965,176.84912,240.82578,0.73672444
6,310.90414,148.34496,0.97232574,308.2334,162.86594,0.89895797,254.51985,180.37361,0.8181695,221.54414,202.5198,0.9369057,210.10234,222.33846,0.94378453,197.7011,254.64267,0.8855573,194.9329,273.23065,0.9330218,367.60004,175.98077,0.9413141,274.95465,275.3676,0.84001136,258.2394,158.64886,0.79662395,177.34387,240.3078,0.7428722
7,310.74966,148.10394,0.98045945,308.05585,162.65994,0.9057041,254.45482,180.01752,0.807138,221.76294,202.48517,0.9554155,213.23242,219.39621,0.95454544,197.39104,254.03503,0.9009049,194.43456,272.82147,0.9493497,367.40134,175.38785,0.94540924,275.43665,274.73932,0.85543716,257.9836,158.7886,0.78600484,177.89716,240.12619,0.7340159
