scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,319.5591,145.80226,0.7351266,315.1753,162.4058,0.5579994,278.25687,153.48811,0.30312333,261.9562,168.98972,0.62104666,251.82802,179.44046,0.6094703,255.67111,198.71509,0.4408712,299.82004,279.3714,0.38566548,376.0749,156.98285,0.9326354,315.35757,216.3189,0.710902,545.9895,486.05423,0.21401873,237.0907,187.89078,0.30649102
1,317.7005,146.59222,0.6799251,315.24704,163.71452,0.5487573,276.1932,154.87712,0.31846094,257.93628,168.48868,0.6721175,248.99709,181.23813,0.69748175,249.70624,202.75044,0.5091224,298.7464,280.97586,0.38674402,375.4486,152.58913,0.91237766,316.1952,221.41057,0.76031405,545.6405,488.1859,0.24606748,230.6591,189.593,0.5085322
2,317.95184,146.47105,0.67472357,315.4893,163.88367,0.5466953,276.66882,154.7745,0.3090229,258.2862,168.11218,0.66676545,249.2103,180.98544,0.6954913,248.84456,202.55754,0.5188373,242.59917,214.44307,0.40173414,375.64697,152.74973,0.9157008,314.90268,220.9895,0.75883245,546.4109,486.27133,0.24624425,230.27898,189.51959,0.5446991
3,318.24332,146.04214,0.6893569,315.34802,163.75484,0.54741234,276.35388,154.86833,0.30317336,259.0445,168.75761,0.63973165,250.52988,180.67204,0.66009974,251.12483,201.97308,0.44008225,298.1243,280.67477,0.3870671,375.654,152.69629,0.9246096,314.43027,220.35196,0.74823606,546.33295,486.31403,0.25960374,234.21939,188.6214,0.44794178
4,318.4977,146.63152,0.69404584,315.44772,164.16121,0.5391054,276.71796,154.60907,0.3062732,260.8048,169.44019,0.62197196,251.43887,179.46758,0.6331052,251.33737,201.1291,0.420698,298.7451,280.69873,0.40081635,375.68356,152.95993,0.9545237,315.01407,219.95207,0.7613395,546.05115,486.5201,0.25878337,234.32907,187.64494,0.43278778
5,318.5602,146.93011,0.7039432,315.58496,164.0531,0.5469472,276.56305,154.30367,0.3136777,260.94293,169.30357,0.6196944,251.18405,179.49432,0.62914914,250.71729,200.78397,0.4848243,299.5327,279.31653,0.3899113,375.85345,153.48242,0.9478171,315.41644,219.12584,0.7189759,546.4694,486.12708,0.2523086,234.19965,188.6953,0.4125765
6,318.72794,146.51646,0.70463353,315.68518,163.8817,0.55494076,276.72498,154.0578,0.32901427,260.9256,169.31409,0.63771313,251.41492,179.80623,0.6377568,249.95198,200.81758,0.47188553,299.40244,278.43942,0.3674585,375.7201,154.74463,0.96560764,315.78,218.89737,0.71538347,547.6677,485.64362,0.25017032,235.31538,188.6726,0.37815258
7,319.34152,147.30234,0.6947139,316.31436,164.01932,0.53725654,276.6203,153.50082,0.33494297,260.44574,168.88864,0.6546173,251.04733,179.8205,0.66958594,249.70183,200.86351,0.5045209,299.21222,278.28406,0.40370387,375.80258,154.30373,0.9772674,316.01752,218.10579,0.6969254,547.66156,485.73428,0.25301158,234.56523,189.18024,0.39798534
