scorer,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,369.69867,225.38562,0.9824902,365.78867,240.24628,1.0,375.48245,308.76163,0.93624693,366.57452,346.85852,1.0,366.5885,363.60123,0.80210525,359.6438,402.04416,0.727859,359.00958,416.19934,0.84657663,423.51846,243.61168,0.77456576,427.35953,373.73795,0.68464166,291.46664,232.76231,0.643941,297.59872,371.62506,0.8670605
1,369.7515,225.41925,0.97072464,365.9392,240.51263,1.0,375.34467,307.35583,0.91612697,366.70032,345.80652,1.0,366.86282,363.90665,0.900189,360.85046,401.40665,0.7177612,359.82635,415.7352,0.84466994,422.89575,243.28839,0.78018427,426.72736,374.00824,0.71903706,291.73132,233.0315,0.65406835,296.96478,371.17032,0.82263863
2,370.04584,225.69363,0.9710512,366.0443,240.57614,1.0,375.387,306.8916,0.932299,366.58798,344.6999,1.0,366.69257,363.10284,0.940361,361.79907,400.90912,0.7081922,361.21704,415.60632,0.8162736,423.05762,243.38358,0.76986074,425.97696,373.87524,0.708098,291.48398,232.96742,0.65668666,297.55597,371.888,0.79806054
3,369.8875,225.9475,0.97355026,365.88602,240.87773,1.0,375.37924,306.96503,0.92567724,366.44275,344.36084,1.0,366.6318,362.55066,0.9447315,363.45276,399.70483,0.6961877,361.32364,415.75815,0.8111114,423.6782,243.23576,0.7846652,426.96637,372.95706,0.68740165,291.3713,233.19044,0.653383,297.35556,371.9488,0.78951305
4,369.82202,225.65099,0.97510344,365.9647,240.75641,1.0,375.46915,307.14038,0.9311553,366.7367,344.2758,1.0,366.4895,362.35696,0.9497924,362.33145,401.53613,0.69560915,361.29462,415.90637,0.80885786,423.22253,243.39613,0.78672165,426.77066,372.84293,0.7033242,291.699,233.07564,0.643829,297.89746,371.69754,0.7831066
5,369.68784,225.75885,0.9724716,365.6128,240.87698,1.0,375.47757,307.22443,0.9415886,366.9808,344.75446,1.0,366.6382,362.74423,0.9346158,362.68,401.06235,0.7031524,361.4913,415.2496,0.83807033,423.52182,243.28615,0.77665824,427.70078,371.7047,0.68664104,291.52875,233.29466,0.64686745,298.01022,372.569,0.80538386
6,369.5847,225.88719,0.976999,365.51923,240.93399,1.0,375.39548,307.23145,0.92833847,366.89264,344.61334,1.0,366.62985,362.76587,0.9387894,362.86407,401.31735,0.6876624,361.99496,415.64096,0.7747573,423.88834,243.20433,0.7796957,427.7148,372.23016,0.6678608,291.54742,232.91899,0.6638418,298.10193,373.32645,0.7993531
7,369.72897,226.04129,0.9670716,365.54657,241.22592,1.0,375.11908,307.0919,0.94562167,366.6564,343.86072,1.0,366.74167,362.1556,0.9572978,363.0443,401.50262,0.6797886,362.07632,416.23035,0.7507623,423.4908,243.27638,0.78774446,427.2115,372.57556,0.70413727,291.80347,232.40851,0.657286,299.0162,372.98212,0.80439186
