scorer,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomright2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,348.61163,195.3529,0.8678436,346.3898,210.81393,0.86175334,355.7994,246.38844,0.76460135,344.6233,277.57062,0.9268115,347.152,292.73758,0.80860656,352.43262,329.80344,0.5931617,349.6576,347.47952,0.678523,406.12985,222.1802,0.80378836,414.35275,339.89246,0.6509357,271.1147,209.43698,0.8250737,278.59583,329.3413,0.7112496
1,348.63895,195.54082,0.881485,346.75812,211.08937,0.86644363,355.71054,245.25801,0.74369633,344.5147,276.74872,0.93879956,346.7795,290.9204,0.77982074,352.468,329.513,0.62184846,350.1962,346.75116,0.6909432,406.50787,221.22778,0.8027853,414.77673,338.3789,0.6138014,271.1386,209.57709,0.8557207,281.03918,328.4038,0.69592375
2,348.42343,195.42151,0.88132185,346.70987,210.76738,0.86910343,355.93182,244.92093,0.72979724,344.37418,276.11728,0.92493427,346.54028,289.94553,0.76116014,351.9524,328.9441,0.65741116,350.61954,345.9392,0.68564767,406.62646,221.49126,0.815697,413.2566,336.94672,0.5952433,271.2687,209.0032,0.84916085,281.31363,327.5504,0.7187407
3,348.2736,195.31142,0.8861323,346.4455,210.78012,0.8759532,355.7861,244.65373,0.7379911,344.23984,276.0823,0.9365894,346.54752,289.86816,0.77837527,351.96375,328.67596,0.6601248,350.45953,345.91495,0.68864733,406.6997,221.16574,0.8245039,412.85907,336.91534,0.5633797,271.46945,209.21841,0.8574881,281.62766,327.056,0.70074415
4,348.3652,195.43117,0.89047676,346.56146,210.97282,0.8849142,355.79147,244.61423,0.72351146,344.01306,276.1704,0.9350051,346.349,289.82794,0.77708244,351.37885,328.7101,0.67293423,349.57895,346.08542,0.6540624,407.04233,221.1091,0.8178863,411.35483,336.9825,0.5580576,271.7248,209.31398,0.871767,281.4231,326.52173,0.75692505
5,348.52377,195.34343,0.8951995,346.58847,210.89043,0.88405955,355.83502,244.87335,0.7283733,344.01538,276.26593,0.9277991,346.42056,289.95483,0.7559616,351.98264,328.62814,0.61721504,350.19827,345.6787,0.6391455,406.90982,221.50647,0.81926113,412.72388,335.7837,0.56046826,271.47562,209.68204,0.86443615,281.5478,325.90845,0.75723827
6,348.30576,195.35124,0.8932255,346.41745,210.79909,0.87727165,355.96692,244.48868,0.72357297,343.97528,276.23895,0.93124795,346.40088,289.9708,0.7613032,352.1952,328.25577,0.6508171,350.63766,345.3624,0.6692465,406.90668,221.7092,0.80649143,413.6532,335.98123,0.54815114,271.37888,209.45673,0.8514292,281.38098,327.19366,0.7637149
7,348.34006,195.26636,0.8900282,346.47537,210.78864,0.87430865,355.83728,244.56573,0.74377507,344.18607,275.89603,0.9439319,346.755,289.96558,0.7730919,352.55136,327.8149,0.6653948,350.26175,344.4026,0.6610314,406.5633,221.49712,0.8146282,413.8661,335.434,0.5573308,271.3196,209.55919,0.8742032,281.71085,327.78644,0.76107883
