scorer,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-bottomleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,253.15105,171.60548,0.9403558,252.2,185.73575,0.8987906,179.57973,223.79356,0.7045693,156.11765,251.81123,0.97482294,147.34404,270.02237,0.96911407,145.07695,301.4525,0.9219933,150.95168,317.18497,0.70348036,312.52786,188.15773,0.8085979,236.55408,306.9528,0.88351744,210.26102,181.7841,0.72584414,129.96944,289.99686,0.81440425
1,253.1381,171.75244,0.9372767,252.00175,185.7976,0.9050116,179.8164,222.3417,0.69413966,156.4082,249.38066,0.88630223,145.49687,269.50754,0.94819564,145.54922,299.613,0.9218792,150.01697,317.00308,0.7067167,312.26688,187.80447,0.80771995,236.21786,306.3342,0.89068496,210.16663,181.35056,0.734579,130.8901,287.49924,0.79456526
2,253.04622,171.78459,0.92644393,252.13313,185.90334,0.897005,179.7656,222.20207,0.6882395,156.06303,248.57954,0.8554561,145.64426,268.29327,0.98108256,145.9479,299.0003,0.9134025,149.75487,317.13318,0.70692897,312.6647,187.83809,0.80777466,235.30391,306.04526,0.8671341,210.11064,181.49562,0.72313523,130.71964,286.07935,0.76861393
3,252.89131,171.8367,0.9254553,252.1549,186.08261,0.88552785,179.47029,222.5215,0.6981439,156.1555,248.51993,0.8425637,145.78549,268.14734,0.97350776,145.95602,298.71365,0.91865975,149.58403,317.00494,0.72261363,312.84653,188.13428,0.8097591,235.32188,305.87958,0.8549474,210.19025,181.44221,0.71592736,131.07712,285.29608,0.7967227
4,253.0175,171.9155,0.9203151,251.99034,186.29008,0.8923415,179.66917,222.4365,0.67910784,156.59598,247.93889,0.8144606,146.15887,267.73224,0.96977556,145.94229,298.60043,0.9217651,149.99248,316.2082,0.70183414,312.88474,187.80383,0.8142735,234.7448,305.31662,0.856006,210.26976,181.61687,0.7087204,130.81213,285.35895,0.78298277
5,252.89925,172.03984,0.92454034,251.98183,186.4013,0.8950058,179.64552,221.85963,0.68929946,156.39403,247.69746,0.81158197,145.95186,267.5368,0.9725692,145.9044,299.6556,0.91754216,150.23878,317.1728,0.7201118,313.0585,188.42238,0.79141706,234.5647,305.11185,0.8590024,210.28398,181.45363,0.71990126,130.5695,285.3679,0.7826678
6,252.91156,171.78708,0.93283767,251.90356,186.25911,0.8943134,180.20076,221.4517,0.6897073,156.78445,247.47551,0.8191956,145.94395,267.7963,0.95891535,146.15407,298.67474,0.88889974,149.21599,315.4073,0.665274,313.18057,187.88031,0.797635,234.97488,306.02383,0.86880577,210.10876,181.37459,0.71535176,131.06075,285.6166,0.78042316
7,253.62807,171.76303,0.9247487,251.89702,186.4613,0.9082202,180.15392,221.62057,0.6800876,156.3317,247.85905,0.8238151,145.55707,268.089,0.9680194,146.32283,298.58484,0.88870865,149.18729,315.06778,0.6710274,313.34055,187.98053,0.7975117,236.52364,306.72678,0.8769718,210.15361,181.80742,0.72261304,131.05472,285.22015,0.7962827
