scorer,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10,DLC_Resnet50_cam-topleft2026-01-01shuffle1_snapshot_best-10
bodyparts,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,219.16667,241.25983,0.95296884,222.36316,255.80183,0.92812043,159.46014,320.94406,0.8255124,132.75148,353.09598,0.98668826,126.58919,377.047,1.0,124.37947,409.5154,0.82087266,133.45258,425.14764,0.86648357,283.05258,261.44385,0.80610764,222.2128,404.69897,0.76622915,178.04752,244.2459,0.90891033,108.02498,382.33212,0.7775647
1,219.32234,241.31358,0.9558241,222.64941,255.73328,0.918112,159.6496,319.9082,0.7989517,133.96852,352.25748,0.9553619,127.404366,374.7169,1.0,124.40269,409.30743,0.8122705,133.17776,424.16406,0.8911053,283.5349,261.66443,0.8125639,222.69788,402.64417,0.75301605,178.0228,244.12735,0.9153295,107.972145,380.76883,0.7577658
2,219.50214,241.12137,0.9630969,222.72438,255.76459,0.91948074,160.22713,319.80267,0.7884989,132.79044,354.51892,0.9482354,126.55983,373.15356,1.0,126.739555,407.5379,0.78407085,133.97281,425.3397,0.8384084,283.9709,261.729,0.79776454,221.22269,402.73703,0.77863634,178.22424,244.52206,0.9092785,106.69115,378.9452,0.77516395
3,219.31873,241.14166,0.9700181,222.35924,255.72394,0.9329522,160.23512,319.84216,0.7973738,132.45132,354.50073,0.94811225,126.30894,372.95654,1.0,126.06675,406.45035,0.8237287,132.84703,424.6236,0.8604248,283.94406,261.70844,0.8059717,222.14963,402.6752,0.7430122,178.14604,244.58672,0.9145407,108.93693,377.8418,0.7789338
4,219.43683,241.27579,0.9688353,222.55792,255.8899,0.9405166,160.43033,319.66272,0.78687805,132.42766,354.45706,0.960654,126.73379,372.76675,1.0,126.618225,406.32516,0.80051273,133.00574,424.29733,0.85540724,283.7198,261.74844,0.80650187,220.63315,402.72263,0.77417463,178.05968,245.01173,0.91628474,109.39688,377.29666,0.79176533
5,219.72577,241.07774,0.9651075,222.83282,255.86919,0.9398671,160.4129,319.89035,0.79164237,132.55647,354.58636,0.9578128,126.593506,373.03784,1.0,126.67628,407.424,0.7952411,133.57672,425.11597,0.8585182,283.67194,261.90817,0.8054763,220.93411,403.03473,0.7947548,178.1873,244.81091,0.9105166,109.28463,377.4506,0.78523123
6,219.60951,241.12355,0.9688181,222.75946,255.69147,0.933946,160.58472,319.66693,0.8061224,132.77116,354.3962,0.97879636,126.293274,373.42453,1.0,124.413895,408.71436,0.790632,133.72554,424.5619,0.86650056,283.63354,261.62796,0.77495974,218.9779,403.11258,0.7608687,178.2437,244.91364,0.90907276,109.15611,377.88052,0.78668433
7,219.69907,241.19693,0.96439976,222.79918,255.65561,0.9363099,160.48166,319.71118,0.7911994,132.50813,354.40857,0.9839969,126.40519,373.28275,1.0,126.24354,407.3154,0.8522582,133.31839,424.27533,0.90671,283.84937,261.42126,0.7798537,219.41629,403.5789,0.79341114,178.21684,244.65503,0.91412306,106.281425,378.84366,0.79777765
